
==============================================================================
BUDGET RATE CONSUMPTION AUDIT — FR 3250117351, Fund 3110111021
==============================================================================

## 1. FR positions (53 total)
   Applicable (BR ratio 1.09529): 53
   Bypassed   (identity ratio 1): 0
   Consumed positions:            47
   Open positions:                6

   RFPOS  GJAHR      sum_FKBTR      sum_TRBTR     ratio    status            class
   00001  2025         3726.94        3402.70   1.09529  CONSUMED       APPLICABLE
   00002  2025         5240.26        4784.36   1.09529  CONSUMED       APPLICABLE
   00003  2025         4136.60        3776.72   1.09529  CONSUMED       APPLICABLE
   00004  2025         3994.10        3646.62   1.09529  CONSUMED       APPLICABLE
   00005  2025         4396.48        4013.98   1.09529  CONSUMED       APPLICABLE
   00006  2025         4244.16        3874.92   1.09529  CONSUMED       APPLICABLE
   00007  2025         3279.06        2993.78   1.09529  CONSUMED       APPLICABLE
   00008  2025         3150.04        2875.98   1.09529  CONSUMED       APPLICABLE
   00009  2025         5579.02        5093.64   1.09529  CONSUMED       APPLICABLE
   00010  2025         4273.64        3901.84   1.09529  CONSUMED       APPLICABLE
   00011  2025         3541.88        3233.74   1.09529  CONSUMED       APPLICABLE
   00012  2025         5306.74        4845.06   1.09529  CONSUMED       APPLICABLE
   00013  2025         4457.34        4069.56   1.09529  CONSUMED       APPLICABLE
   00014  2025         3189.60        2912.10   1.09529  CONSUMED       APPLICABLE
   00015  2025         7258.36        6626.88   1.09529  CONSUMED       APPLICABLE
   00016  2025         4221.92        3854.62   1.09529  CONSUMED       APPLICABLE
   00017  2025         4886.14        4461.04   1.09529  CONSUMED       APPLICABLE
   00018  2025         2154.44        1967.00   1.09529  CONSUMED       APPLICABLE
   00019  2025         4620.02        4218.08   1.09529  CONSUMED       APPLICABLE
   00020  2025         7443.00        6795.46   1.09529  CONSUMED       APPLICABLE
   00021  2025         7192.30        6566.58   1.09529  CONSUMED       APPLICABLE
   00022  2025         6675.20        6094.46   1.09529  CONSUMED       APPLICABLE
   00023  2025         4433.24        4047.54   1.09529  CONSUMED       APPLICABLE
   00024  2025         4158.12        3796.36   1.09529  CONSUMED       APPLICABLE
   00025  2025         8800.86        8035.18   1.09529  CONSUMED       APPLICABLE
   00026  2025         3902.26        3562.76   1.09529  CONSUMED       APPLICABLE
   00027  2025           72.28          66.00   1.09515  CONSUMED       APPLICABLE
   00028  2025         4730.86        4319.28   1.09529  CONSUMED       APPLICABLE
   00029  2025         3719.22        3395.64   1.09529  CONSUMED       APPLICABLE
   00030  2025         6177.18        5639.76   1.09529  CONSUMED       APPLICABLE
   00031  2025         4906.26        4479.42   1.09529  CONSUMED       APPLICABLE
   00032  2025         5291.56        4831.20   1.09529  CONSUMED       APPLICABLE
   00033  2025         7199.16        6572.84   1.09529  CONSUMED       APPLICABLE
   00034  2025         8367.46        7639.50   1.09529  CONSUMED       APPLICABLE
   00035  2025         7426.02        6779.96   1.09529  CONSUMED       APPLICABLE
   00036  2025          920.04         840.00   1.09529  CONSUMED       APPLICABLE
   00037  2025         3362.54        3070.00   1.09529  CONSUMED       APPLICABLE
   00038  2025         6133.62        5600.00   1.09529  CONSUMED       APPLICABLE
   00038  2026         3066.81        2800.00   1.09529      OPEN       APPLICABLE
   00039  2025         9638.56        8800.00   1.09529  CONSUMED       APPLICABLE
   00039  2026         4819.28        4400.00   1.09529      OPEN       APPLICABLE
   00040  2025         6243.16        5700.00   1.09529  CONSUMED       APPLICABLE
   00040  2026         3121.58        2850.00   1.09529      OPEN       APPLICABLE
   00041  2025         3285.88        3000.00   1.09529  CONSUMED       APPLICABLE
   00041  2026         1642.94        1500.00   1.09529      OPEN       APPLICABLE
   00042  2025           72.28          66.00   1.09515  CONSUMED       APPLICABLE
   00043  2025         1160.20        1059.26   1.09529  CONSUMED       APPLICABLE
   00043  2026          580.10         529.63   1.09529      OPEN       APPLICABLE
   00044  2025          817.08         746.00   1.09528  CONSUMED       APPLICABLE
   00045  2025         2620.06        2392.12   1.09529  CONSUMED       APPLICABLE
   00045  2026         1310.03        1196.06   1.09529      OPEN       APPLICABLE
   00046  2025         4727.14        4315.88   1.09529  CONSUMED       APPLICABLE
   00047  2025           90.14          82.30   1.09526  CONSUMED       APPLICABLE

## 2. Fund-level consumption (282 rows)
   EUR rows BR-applied:            259
   USD rows BR-bypassed:           22
   USD bypassed total (signed):        -1605.56 USD
   Estimated AVC drift accumulated:      489.87 USD

   FMBELNR      GJ   PER W   TWAER      FKBTR      TRBTR            class
   0605807929   2025 011 54  USD     -1767.65   -1767.65         BYPASSED  PAX/DRX_Rembt ATK cost VALL_Delegate GC
   0605808151   2025 011 54  USD      1767.65    1767.65         BYPASSED  PAX/DRX_Rembt ATK cost VALL_Delegate GC
   0605808318   2025 011 54  MRU     -1775.21  -70600.00  M_RATE_OR_OTHER  PAX/DRX_Rembt ATK cost VALL_Delegate GC
   0605817104   2025 012 54  USD       -42.48     -42.48         BYPASSED  UNDP CHARGES_DOC 6400024554
   0605828432   2025 012 66  USD      -150.98    -150.98         BYPASSED  Carbon_non-staff Q4/2025_
   0605828433   2025 012 66  USD       -72.89     -72.89         BYPASSED  Carbon_non-staff Q4/2025_
   0605828434   2025 012 66  USD       -63.56     -63.56         BYPASSED  Carbon_non-staff Q4/2025_
