P01 SYSTEM-WIDE — 70 FUNDS AT LATENT RISK (open EUR FR in 2026 + USD consumption pattern)
Generated from p01_gold_master_data.db, Session #054, 2026-04-13
====================================================================================================
FONDS         n_open_FR   eur_open_vol_eur n_usd_2026    usd_vol_2026
727IVC1004            1           3,157.50         87    8,648,400.84
A2101H4041            1              62.00         16       33,550.85
3230311011            1           1,078.46          4       21,929.34
3210312011            1           2,308.32          1       20,625.32
3210312071            1              74.26          2       15,000.00
A230542041            1             240.00         32       11,471.47
3210312061            1              33.34          1        9,720.00
3230851011            1             340.00          2        4,887.48
A110111041            1           5,776.63         10        3,701.13
3210315081            1           1,932.28          1        3,500.00
A230211011            1          27,088.07         19        3,472.28
3230321041            2           3,049.04          4        2,168.00
3230511011            1          12,217.22          1        1,600.00
3210421051            2             500.00          7        1,252.08
3230321011            1           3,934.00          2        1,179.85
A230111011            1           3,872.00          3        1,072.60
3230511071            1           1,000.00          9        1,046.70
3210441031            1             400.00          4        1,023.32
3210421011            1             200.00          2          582.88
3210421081            1           1,154.00          3          399.11
3210611041            1           4,000.00          1          294.67
3210641021            1             313.16          1          230.00
3230833161            1           1,000.00          1           90.00
A230411071            1              50.00          1            3.76
3110111021            1          11,775.69          0            0.00
3110111061            1           3,990.52          0            0.00
3110111101            1           3,022.76          0            0.00
3210111291            1             600.00          0            0.00
3210151021            1             116.00          0            0.00
3210192031            1           1,000.00          0            0.00
3210212171            1           1,000.00          0            0.00
3210312111            1           1,000.00          0            0.00
3210315031            1              44.46          0            0.00
3210315091            1             931.30          0            0.00
3210411011            1             206.00          0            0.00
3210421031            1              40.00          0            0.00
3210423041            1             650.00          0            0.00
3210451011            1             160.00          0            0.00
3210542061            1           1,000.00          0            0.00
3210621061            2           3,822.92          0            0.00
3210631031            2          13,345.32          0            0.00
3210631041            1           1,303.88          0            0.00
3210641071            1           1,116.94          0            0.00
3210641081            1             245.36          0            0.00
3230211041            1           4,828.70          0            0.00
3230311021            1              30.00          0            0.00
3230311031            1              40.00          0            0.00
3230411011            1             103.21          0            0.00
3230411081            1           1,500.00          0            0.00
3230711051            2           4,844.00          0            0.00
3230711061            1             447.58          0            0.00
3230833081            1              97.00          0            0.00
3230836011            1             119.61          0            0.00
3230841851            1             816.22          0            0.00
3230876112            1           5,277.98          0            0.00
3240211011            2             476.95          0            0.00
3310511011            1           5,034.03          0            0.00
3310611021            2           9,668.49          0            0.00
3310611041            1             400.00          0            0.00
3310611051            2           2,016.25          0            0.00
3310611071            2           5,816.44          0            0.00
3310714011            1          11,856.27          0            0.00
3320111011            2             765.26          0            0.00
A210451071            1             120.00          0            0.00
A230111021            2           1,399.56          0            0.00
A230542011            1           3,157.50          0            0.00
A230542101            1             585.47          0            0.00
A310511011            1           4,249.11          0            0.00
A310611061            1             646.00          0            0.00
A320111021            2          61,698.69          0            0.00
