batch_no,rule_id,item_count,run_date,run_id,batch_sum,currency,status_guid,created_by,created_on,approved_by,approved_on,paying_co_code,house_bank,created_time,user_pattern
0000027415,UNES_AP_10,00002,20260325,00004B,133930.98,USD,00505690518F1FE1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,CIT04,110931,HQ weekly AP operator (Wednesday cycle)
0000027416,UNES_AP_10,00006,20260325,00004B,77478.39,USD,00505690518F1FE1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,110932,HQ weekly AP operator (Wednesday cycle)
0000027417,UNES_AP_10,00001,20260325,00004B,97243.15,USD,00505690518F1FE1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,CIT21,110932,HQ weekly AP operator (Wednesday cycle)
0000027418,UNES_AP_10,00001,20260325,00004B,18577.42,USD,00505690518F1FE1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG03,110933,HQ weekly AP operator (Wednesday cycle)
0000027435,UBO_AP_MAX,00080,20260325,00032B,809756.17,BRL,00505690518F1FE1,E_AMARAL,20260325,E_AMARAL,20260325,UBO,CIT01,160139,UBO Brazil field office (UBO_AP_MAX)
0000027436,UBO_AP_MAX,00005,20260325,00032B,58566.10,BRL,00505690518F1FE1,E_AMARAL,20260325,E_AMARAL,20260325,UBO,CIT01,160147,UBO Brazil field office (UBO_AP_MAX)
0000027439,UBO_AP_MAX,00001,20260325,00035B,2252.47,BRL,00505690518F1FE1,E_AMARAL,20260325,E_AMARAL,20260325,UBO,CIT01,160205,UBO Brazil field office (UBO_AP_MAX)
0000027440,UBO_AP_MAX,00001,20260325,00035B,39277.65,BRL,00505690518F1FE1,E_AMARAL,20260325,E_AMARAL,20260325,UBO,CIT01,160206,UBO Brazil field office (UBO_AP_MAX)
0000027442,UBO_AP_MAX,00037,20260325,00037B,651083.32,BRL,00505690518F1FE1,E_AMARAL,20260325,E_AMARAL,20260325,UBO,CIT01,160219,UBO Brazil field office (UBO_AP_MAX)
0000027443,UBO_AP_MAX,00024,20260325,00037B,456998.51,BRL,00505690518F1FE1,E_AMARAL,20260325,E_AMARAL,20260325,UBO,CIT01,160223,UBO Brazil field office (UBO_AP_MAX)
0000027420,UNES_AP_10,00220,20260325,00006B,1250395.67,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,120924,HQ weekly AP operator (Wednesday cycle)
0000027422,UNES_AP_10,00006,20260325,00006B,15452.99,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG03,120929,HQ weekly AP operator (Wednesday cycle)
0000027423,UNES_AP_10,00003,20260325,00006B,10994.10,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG03,120933,HQ weekly AP operator (Wednesday cycle)
0000027424,UNES_AP_10,00040,20260325,00006B,659781.91,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,CIT04,120936,HQ weekly AP operator (Wednesday cycle)
0000027426,UNES_AP_10,00002,20260325,00006B,49393.31,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,120941,HQ weekly AP operator (Wednesday cycle)
0000027427,UNES_AP_10,00047,20260325,00006B,628613.71,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,120943,HQ weekly AP operator (Wednesday cycle)
0000027428,UNES_AP_EX,00001,20260325,00006B,10000.00,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,120943,HQ weekly AP operator (Wednesday cycle)
0000027429,UNES_AP_10,00005,20260325,00006B,18314.57,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,121011,HQ weekly AP operator (Wednesday cycle)
