TREE_TYPE,TREE_ID,NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,MP_SC_TAB,MP_SC_FLD,MP_SC_OFFSET,LENGTH,CV_RULE,MP_EXIT_FUNC,VERSION,BROTHER_ID,FIRSTCHILD_ID,REF_NAME
PAYM,CGI_XML_CT_V9,N_0003661540,N_3077368890,Strd_Ref_CZ3,TECH,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_6425232200,,STRD_REF_CZ3
PAYM,CGI_XML_CT_V9,N_0003959320,N_5605414550,IBAN,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_6466039970,,
PAYM,CGI_XML_CT_V9,N_0018704260,N_5834095640,Prtry,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,,,
PAYM,CGI_XML_CT_V9,N_0037190360,N_4259075460,Cd,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_2948106120,,
PAYM,CGI_XML_CT_V9,N_0063778710,N_3043492130,InstrPrty,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_2371218210,,
PAYM,CGI_XML_CT_V9,N_0076638040,N_3816618790,BtchBookg,ELEM,FPM_CGI,BATCH_BOOKING,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_7816488270,,
PAYM,CGI_XML_CT_V9,N_0079165060,N_3259090940,Othr,ELEM,,,000,0000,,,999,,N_7887958710,
PAYM,CGI_XML_CT_V9,N_0080854690,N_7102157750,Othr,ELEM,,,000,0000,,,999,,N_1601503000,
PAYM,CGI_XML_CT_V9,N_0094145060,N_8275352230,Ctry2,TECH,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_6056467140,,RGLRPTGACTRY
PAYM,CGI_XML_CT_V9,N_0116235960,N_9136748270,Id,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,,,
PAYM,CGI_XML_CT_V9,N_0132006970,N_1139283400,IntrmyAgt1Acct,ELEM,,,000,0000,,,999,N_6734201450,N_7390709130,
PAYM,CGI_XML_CT_V9,N_0150122210,N_0691968180,Cd,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_3374661640,,
PAYM,CGI_XML_CT_V9,N_0200425770,N_3816618790,UltmtDbtr,ELEM,,,000,0000,,,999,N_5279772970,N_8854630420,
PAYM,CGI_XML_CT_V9,N_0200816950,N_3663990150,Id,ELEM,FPAYHX,UBRCH,000,0000,CL       X,FI_CGI_DMEE_EXIT_W_BADI,999,,,
PAYM,CGI_XML_CT_V9,N_0246121800,N_7475926960,Id,ELEM,,,000,0128,,FI_CGI_DMEE_EXIT_W_BADI,999,,,ID2
PAYM,CGI_XML_CT_V9,N_0287089780,N_1235564610,AdjstmntAmtAndRsn,ELEM,,,000,0000,,,999,N_6481464420,N_1429031250,
PAYM,CGI_XML_CT_V9,N_0293281340,N_1160789980,Dept,ELEM,,,000,0000,CL       X,FI_CGI_DMEE_EXIT_W_BADI,999,N_8127716780,,
PAYM,CGI_XML_CT_V9,N_0294810570,N_9874109890,Version,TECH,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_7469163780,,V9
PAYM,CGI_XML_CT_V9,N_0297118830,N_0552596500,-Tp,TECH,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_6394567820,,-TP
PAYM,CGI_XML_CT_V9,N_0300225030,N_6406447170,BICOrBEI,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_5444661140,,
PAYM,CGI_XML_CT_V9,N_0302951040,N_4163092720,Cd,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_8907800630,,
PAYM,CGI_XML_CT_V9,N_0305533160,N_5887104050,ChanlTp,ELEM,,,000,0004,,FI_CGI_DMEE_EXIT_W_BADI,999,N_2687513880,,CHNLTP1
PAYM,CGI_XML_CT_V9,N_0310946280,N_1602061050,Cd,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_6995850210,,
PAYM,CGI_XML_CT_V9,N_0314094650,N_1841606350,StrtNm,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_8884202650,,
PAYM,CGI_XML_CT_V9,N_0321814050,N_5166812020,TwnNm,ELEM,,,000,0035,CL       X,FI_CGI_DMEE_EXIT_W_BADI,999,N_8407690210,,
PAYM,CGI_XML_CT_V9,N_0324114080,N_0698467000,Cd,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,,,
PAYM,CGI_XML_CT_V9,N_0330017550,N_1139283400,RgltryRptg,ELEM,,,000,0000,,,999,N_7847061200,N_0510907600,
PAYM,CGI_XML_CT_V9,N_0334948600,N_7407754150,FrmsCd,ELEM,,,000,0000,,FI_CGI_DMEE_EXIT_W_BADI,999,N_2375997480,,
