FIELDNAME,INTTYPE,LENG,DECIMALS,DOMNAME,ROLLNAME,FIELDTEXT
ZNM1S,C,000035,000000,TEXT35,NAMES_FPM,Name with Asterisks
ZNM2S,C,000035,000000,TEXT35,NAMES_FPM,Name with Asterisks
ZPLOR,C,000046,000000,TEXT46,DZPLOR_FPM,Postal Code/City of the Payee's Display Field
ZPFST,C,000035,000000,TEXT35,PFSTR_FPM,P.O. Box or Street for Postal Code/City
ZLISO,C,000002,000000,INTCA,INTCA,Country ISO code
ZLNDX,C,000015,000000,TEXT15,DZLNDX,Name of the Payee's Country
ZREGX,C,000020,000000,TEXT20,DZREGX_FPM,Name of the Payee Region
ZBANK,C,000100,000000,TEXT100,EBANK_FPM,Payee Bank (Name and City)
ZBREGX,C,000020,000000,TEXT20,DZBREGX_FPM,Name of the Payee Bank Region
ZBISO,C,000002,000000,INTCA,INTCA,Country ISO code
ZBNKL_EXT,C,000015,000000,CHAR15,BANKL_EXT,External Format of Bank Number (Electr. Transmission)
ZBNKN_EXT,C,000035,000000,BANKN35,BANKN_EXT,External Format of Acct No. (Electr. Transmission)
ZBCOD_EXT,C,000002,000000,BCODE_EXT,BCODE_EXT,Ext. Representation of Clearing Cde (Electr. Transmission)
HWISO,C,000003,000000,ISOCD,ISOCD,ISO Currency Code
SPRAS,C,000001,000000,SPRAS,LANGU,Language Key
STCEG,C,000020,000000,STCEG,STCEG,VAT Registration Number
NAMEZ,C,000040,000000,TEXT40,AD_NAME1,Name 1
LAND1,C,000003,000000,LAND1,LAND1,Country Key
LDISO,C,000002,000000,INTCA,INTCA,Country ISO code
ORT1Z,C,000040,000000,TEXT40,AD_CITY1,City
ADRNR,C,000010,000000,ADRNR,ADRNR,Address
AUST1,C,000035,000000,TEXT35,AUSTX_042E,Issuer on the Form
AUST2,C,000035,000000,TEXT35,AUSTX_042E,Issuer on the Form
AUST3,C,000035,000000,TEXT35,AUSTX_042E,Issuer on the Form
AUSTO,C,000035,000000,TEXT35,AUSTX_042E,Issuer on the Form
TXTID,C,000004,000000,TDID,TDID,Text ID
TXTKO,C,000016,000000,TDFORMNEW,TXTKO_FPM,Text Element for Letter Header
TXTFU,C,000016,000000,TDFORMNEW,TXTFU_FPM,Text Module for Footer
TXTUN,C,000016,000000,TDFORMNEW,TXTUN_FPM,Text Module for Signature/Form of Greeting
TXTAB,C,000016,000000,TDFORMNEW,TXTAB_FPM,Text Module for Sender in Letter Window
SF_HEADER,C,000030,000000,TDSFNAME,FSF_HEADER,Smart Forms: Name of Header Text in Text Processing
SF_FOOTER,C,000030,000000,TDSFNAME,FSF_FOOTER,Smart Forms: Name of Footer in Text Processing
SF_SENDER,C,000030,000000,TDSFNAME,FSF_SENDER,Smart Forms: Name of Sender Text in Text Processing
SF_GREETG,C,000030,000000,TDSFNAME,FSF_GREETINGS,Smart Forms: Name of Greeting in Text Processing
URL_LOGO,C,000255,000000,SSFURL,FURL_LOGO,URL for PDF Logo
URL_GRAPH,C,000255,000000,SSFURL,FURL_GRAPHIC,URL for PDF Graphic
UBNKA,C,000060,000000,TEXT60,UBNKA,Our Bank Name
UBSTR,C,000035,000000,TEXT35,UBSTR,Our Bank Street
UBORT,C,000035,000000,TEXT35,UBORT,Our Bank City
UBNKS,C,000003,000000,LAND1,BANKS,Country/Region Key of Bank
UBISO,C,000002,000000,INTCA,INTCA,Country ISO code
UBNKY,C,000015,000000,BANKK,UBNKY,Bank Key of Our Bank
UBNKL,C,000015,000000,BANKL,UBNKL,Bank number of our bank
UBKNT,C,000035,000000,BANKN35,UBKNT35,Our Account Number at the Bank
UBKON,C,000002,000000,BKONT,UBKON,Bank control key at our bank
UIBAN,C,000034,000000,IBAN,UIBAN,IBAN at our House Bank
UBNKL_EXT,C,000015,000000,CHAR15,BANKL_EXT,External Format of Bank Number (Electr. Transmission)
UBKNT_EXT,C,000035,000000,BANKN35,BANKN_EXT,External Format of Acct No. (Electr. Transmission)
UBCOD_EXT,C,000002,000000,BCODE_EXT,BCODE_EXT,Ext. Representation of Clearing Cde (Electr. Transmission)
UBWAE,C,000003,000000,ISOCD,ISOCD,ISO Currency Code
USWIF,C,000011,000000,SWIFT,SWIFT,SWIFT/BIC for International Payments
UBREG,C,000003,000000,REGIO,REGIO,"Region (State, Province, County)"
UBREGX,C,000020,000000,TEXT20,UBREGX_FPM,Name of House Bank Region
UBANK,C,000100,000000,TEXT100,UBANK,House Bank (Name and City)
UBRCH,C,000040,000000,TEXT40,BRNCH,Bank Branch
UBTEL,C,000016,000000,TEXT16,TELF1,First telephone number
UBNAM,C,000030,000000,TEXT30,NAME1_A,Name of contact person
UBSPR,C,000001,000000,SPRAS,SPRAS,Language Key
XPGRO,C,000001,000000,XFELD,XPGRO,Post Office Bank Current Account
DTVTA,N,000002,000000,NUMC02,DTVTA_012D,Lead Days for Date of Execution
DTELZ,C,000015,000000,BANKL,DTELZ,Bank Number of the Bank Receiving the Data Medium
DTGLZ,C,000015,000000,BANKL,DTGLZ,Charge Account Bank Number
DTGBK,C,000035,000000,BANKN35,DTGBK,Account Number of the Charge Account
DTGIS,C,000003,000000,CHAR3,DTAT7A,ISO Currency Code for Charge Account
DTFIN,C,000020,000000,CHAR20,DTFIN_012D,Company Number of Ordering Party
DTBID,C,000005,000000,CHAR5,DTBID,DME Bank Identification
DTKID,C,000018,000000,CHAR18,DTKID,Customer ID at House Bank
BNKL1_EXT,C,000015,000000,CHAR15,BANKL_EXT,External Format of Bank Number (Electr. Transmission)
BNKN1_EXT,C,000035,000000,BANKN35,BANKN_EXT,External Format of Acct No. (Electr. Transmission)
BCOD1_EXT,C,000002,000000,BCODE_EXT,BCODE_EXT,Ext. Representation of Clearing Cde (Electr. Transmission)
BNKL2_EXT,C,000015,000000,CHAR15,BANKL_EXT,External Format of Bank Number (Electr. Transmission)
BNKN2_EXT,C,000035,000000,BANKN35,BANKN_EXT,External Format of Acct No. (Electr. Transmission)
BCOD2_EXT,C,000002,000000,BCODE_EXT,BCODE_EXT,Ext. Representation of Clearing Cde (Electr. Transmission)
BNKL3_EXT,C,000015,000000,CHAR15,BANKL_EXT,External Format of Bank Number (Electr. Transmission)
BNKN3_EXT,C,000035,000000,BANKN35,BANKN_EXT,External Format of Acct No. (Electr. Transmission)
BCOD3_EXT,C,000002,000000,BCODE_EXT,BCODE_EXT,Ext. Representation of Clearing Cde (Electr. Transmission)
DTKVS,N,000002,000000,NUMC02,DTAT21,Cost Allocation Key
DTZUS,C,000025,000000,TEXT25,DTAT20,Instruction Key Additional Information
DTKZA,N,000002,000000,NUMC02,DTAT22,Payment Type Indicator
DTURG,C,000001,000000,XFELD,DTURG,Urgent Payment
WAERS,C,000003,000000,ISOCD,ISOCD,ISO Currency Code
XKDFB,C,000001,000000,XFELD,XKDFB_042E,Do not Post any Exchange Rate Differences
OVBLN,N,000013,000000,NUMC13,OVBLN_FPM,Payment Document Number for OCRA Lines
XEINZ,C,000001,000000,XFELD,XEINZ,Indicator: Payment Method Used for Incoming Payments?
XSCHK,C,000001,000000,XFELD,XSCHK_042Z,Indicator: Is a Check Created Using This Payment Method?
XPGIR,C,000001,000000,XFELD,XPGIR,Indicator: Payment Method for Post Office Bank
XEURO,C,000001,000000,XFELD,XEURO,Indicator: EU Internal Transfer w/o Reporting Section
XEZER,C,000001,000000,XFELD,XEZER_042Z,Indicator: Must Collection Authorization Be Provided?
ZFORN,C,000016,000000,TDFORM,DZFORN,Name of the Form for the Payment Transfer Medium
WFORN,C,000016,000000,TDFORM,WFORN,Name of Next Form
AFORN,C,000016,000000,TDFORM,AFORN,Name of the Form for the Payment Advice
PDFFO,C,000030,000000,FPNAME,DZFORN_PDF,Name of the PDF-based Form for the Payment Medium
PDFWF,C,000030,000000,FPNAME,WFORN_PDF,Name of the Next PDF-based Form
PDFAF,C,000030,000000,FPNAME,AFORN_PDF,Name of the PDF-based Form for the Payment Advice Note
FORMI,C,000030,000000,FORMI_FPM,FORMI_FPM,Payment Medium Format
FORMZ,C,000006,000000,FORMZ_FPM,FORMZ_FPM,Supplement for Payment Medium Format
PREFTYP,C,000030,000000,PREFTYP_FPM,PREFTYP_FPM,Note to Payee Type
RENUM,C,000016,000000,TEXT16,RENUM_FPM,Reference Number
CHECK,C,000013,000000,CHCKN,CHECT,Check number
XFINAL,C,000001,000000,,,Indicator: Last Payment in a Physical File
CURNO,N,000012,000000,NUMC12,CURNO_FPM,Sequential Number
REF01,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF02,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF03,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF04,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF05,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF06,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF07,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF08,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF09,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF10,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF11,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF12,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF13,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF14,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
REF15,C,000132,000000,,REFER_FPM,User-Defined Field (See Format Documentation)
ZREF01,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
ZREF02,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
ZREF03,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
ZREF04,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
ZREF05,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
ZREF06,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
ZREF07,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
ZREF08,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
ZREF09,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
ZREF10,C,000132,000000,,REFERZ_FPM,User-Defined Text (Customer-Specific)
PMTMTD,C,000003,000000,CHAR3,/CITIPMW/V3PMTMTD,Payment Method
INSTRPRTY,C,000004,000000,CHAR4,/CITIPMW/V3INSTRPRTY,Instruction Priority
SVCLVL_CD,C,000004,000000,CHAR04,/CITIPMW/V3SVCLVL_CD,Service Level Code
CLRCHANL,C,000004,000000,CHAR4,/CITIPMW/V3CLRCHANL,Clearing Channel
IBAN_PREF,C,000001,000000,XFELD,/CITIPMW/V3IBAN_PREF,IBAN Preferred / CSF Real Settle Indicator
LCLINSTRM_CD,C,000035,000000,CHAR35,/CITIPMW/V3LCLINSTRM_CD,Local Instrument Code
LCLINSTRM_PRTY,C,000035,000000,CHAR35,/CITIPMW/V3LCLINSTRM_PRTY,Local Instrument Proprietary (PIUID)
CTGYPURP,C,000004,000000,CHAR4,/CITIPMW/V3CTGYPURP,Category Purpose
RMTID,C,000035,000000,CHAR35,/CITIPMW/V3RMTID,Remittance Identification / CSF Site ID
RMTLCTNMTD,C,000004,000000,CHAR4,/CITIPMW/V3RMTLCTNMTD,Remittance Location Method
CHQTP,C,000004,000000,CHAR4,/CITIPMW/V3CHQTP,Cheque Type
CHQ_PRTLCTN,C,000035,000000,CHAR35,/CITIPMW/V3CHQ_PRTLCTN,Cheque Print Location / SEPA Batch ('TRUE')
CHQ_DLVRYMTD_CD,C,000004,000000,CHAR4,/CITIPMW/V3CHQ_DLVRYMTD_CD,Cheque Delivery Method Code
UBKNT2,C,000024,000000,BNKN2,BNKN2,Alternative Bank Acct Number (for Ambiguous Acct Number)
RPOST_MAX,N,000007,000000,NUMC07,/CITIPMW/V3RPOST_MAX,Number of invoice details
CDTR_ORG_PRVT_ID,C,000001,000000,,,Output Creditor Org or Prvt ID
CDTR_ACCT_TP_CD,C,000004,000000,,,Creditor Account Type Code
CDTR_ACCT_TP_PRTY,C,000035,000000,,,Creditor Account Type Proprietary
CDTR_ACCT_ID,C,000034,000000,,,Creditor Account Number
