fund,fund_type,link_type,wbs_objnr,wbs_posid,wbs_post1,n_commit_lines,ps_commit_open_2026,ps_budget_2026,ps_actual_2026,ps_pool_remaining,fm_revenue_2026,fm_consumed_2026,fm_pool_remaining,isbd_flag,state,commit_exceeds_fm,pre_flight_verdict
196EAR4042,104,HARD,PR00048366,196EAR4042.11.2.10,Virunga National Park (RDC),3,250400.00,250400.00,,0.00,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048370,196EAR4042.11.2.4,Salonga NP (RDC),2,142792.00,142792.00,,0.00,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048405,196EAR4042.23.2.1,Norway Lake Malawi,1,59813.00,59813.00,,0.00,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048410,196EAR4042.23.2.5,Norway Complex WAP,1,41968.00,41968.00,,0.00,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048413,196EAR4042.23.2.7,Norway Dja Wildlife Reserve,1,30250.00,41641.89,,11391.89,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00050949,196EAR4042.23.2.10.1,Decentralization Yaounde,24,15894.34,77753.26,12960.60,48898.32,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00055808,196EAR4042.23.2.12,Norway Lakes of Ounianga,32,11660.05,19736.33,7937.34,138.94,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048457,196EAR4042.6.2,Africa,1,5309.00,5309.00,,0.00,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048383,196EAR4042.11.4,Europe NA,15,4960.00,4960.00,,0.00,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048414,196EAR4042.23.2.7.1,Decentr. Yaounde,12,3920.82,7889.85,3969.03,0.00,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048415,196EAR4042.23.2.7.2,"Decentr. Yaounde ($100,000)",2,3502.04,3502.04,,0.00,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00054531,196EAR4042.16.2.1.1,Decentralization Abidjan,19,296.62,7580.58,6394.76,889.20,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048399,196EAR4042.20,2.2.6 SIDS,2,284.00,16434.00,8932.16,7217.84,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PRE_FLIGHT_BLOCK_HARD
196EAR4042,104,HARD,PR00048353,196EAR4042.1,1.1. Organisation of meetings,80,0.00,0.00,,0.00,-12659716.27,-207793.14,-12867509.41,YES,FM_ONLY_EXHAUSTED,NO,PASS
