fund,fund_type,fund_desc,wbs_objnr,wbs_posid,wbs_post1,link_tier,ps_pool_2026,fm_pool_2026_min,fm_blocking_bucket,state,deficit_severity_rank,postings_count_2024_26,wbs_fund_count
000CRP9000,,,PR00028292,000CRP9000,UIS Cost Recovery Technical Fund,DERIVED,78858.0,0.0,,FM-EXHAUSTED,1931,29,1
000PSC9000,,,PR00027460,000PSC9000,UIS PSC Technical Fund,DERIVED,9141.48,0.0,,FM-EXHAUSTED,1932,28,1
102ARG1101,,,PR00006590,102ARG1101,BA General Operating Expenses,DERIVED,85975.63,0.0,,FM-EXHAUSTED,1933,511,1
110RAF0303,,,PR00047112,110RAF0303,Study on Quality Assurance in Eastern Af,DERIVED,0.0,0.0,,BOTH-EXHAUSTED,1934,14,1
123BKF0401,,,PR00029768,123BKF0401,HRM support for MENA Burkina Faso,DERIVED,0.0,0.0,,BOTH-EXHAUSTED,1935,1,1
123BKF0401,,,PR00029776,123BKF0401.2.3,Intervention 2.3,DERIVED,0.0,0.0,,BOTH-EXHAUSTED,1936,4,1
123BKF0402,,,PR00029793,123BKF0402,EMIS support for MENA Burkina Faso,DERIVED,0.0,0.0,,BOTH-EXHAUSTED,1937,2,1
123BKF0402,,,PR00029804,123BKF0402.2.3,Intervention 2.3,DERIVED,0.0,0.0,,BOTH-EXHAUSTED,1938,1,1
123BKF0402,,,PR00029805,123BKF0402.2.4,Intervention 2.4,DERIVED,0.0,0.0,,BOTH-EXHAUSTED,1939,1,1
123BKF0402,,,PR00029806,123BKF0402.3,Coordination et suivi-évaluation,DERIVED,0.0,0.0,,BOTH-EXHAUSTED,1940,4,1
123GLO0402,,,PR00053371,123GLO0402,Efficacité de l'aide dans le secteur de,DERIVED,0.0,0.0,,BOTH-EXHAUSTED,1941,35,1
123GLO0403,,,PR00058329,123GLO0403,Phase 2_20 years of Paris Declaration on,DERIVED,27799.62,0.0,,FM-EXHAUSTED,1942,3,1
