wbs_objnr,wbs_posid,wbs_post1,fund,fund_type,fund_count_on_wbs,fund_consumption_2024_26,total_consumption_2024_26,fund_share_pct,postings_count_2024_26
PR00000106,1,Major Programme 1 (Education),125GEF0000,096,592,101253.33,51817355.99,0.2,56
PR00027627,680REV9001,Management Cost PFF technical account,170GLO4042,104,1211,11603.53,48376526.57,0.02,19
PR00027627,680REV9001,Management Cost PFF technical account,170GLO4043,104,1211,49.08,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,175GLO4042,104,1211,1440.56,48376526.57,0.0,7
PR00027627,680REV9001,Management Cost PFF technical account,175GLO4043,104,1211,241.33,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,181GLO3040,106,1211,4677.78,48376526.57,0.01,3
PR00027627,680REV9001,Management Cost PFF technical account,181GLO3041,106,1211,6577.96,48376526.57,0.01,11
PR00027627,680REV9001,Management Cost PFF technical account,181GLO3042,106,1211,93551.49,48376526.57,0.19,25
PR00027627,680REV9001,Management Cost PFF technical account,181GLO3043,104,1211,7888.83,48376526.57,0.02,2
PR00027627,680REV9001,Management Cost PFF technical account,182GLO4039,106,1211,4.63,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,182GLO4040,106,1211,7046.82,48376526.57,0.01,5
PR00027627,680REV9001,Management Cost PFF technical account,182GLO4041,106,1211,34975.97,48376526.57,0.07,13
PR00027627,680REV9001,Management Cost PFF technical account,182GLO4042,104,1211,144344.97,48376526.57,0.3,20
PR00000106,1,Major Programme 1 (Education),185GEF0004,096,592,8425.65,51817355.99,0.02,4
PR00000107,2,Major Programme 2 (Natural Sciences),185GEF0005,096,591,3387.71,25643916.0,0.01,6
PR00027627,680REV9001,Management Cost PFF technical account,191AIP2041,104,1211,96.82,48376526.57,0.0,3
PR00027627,680REV9001,Management Cost PFF technical account,191AIP2042,104,1211,13540.71,48376526.57,0.03,15
PR00027627,680REV9001,Management Cost PFF technical account,191AIP2043,104,1211,3657.68,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,191EWS2041,104,1211,2316.34,48376526.57,0.0,5
PR00027627,680REV9001,Management Cost PFF technical account,191EWS2042,104,1211,22977.34,48376526.57,0.05,25
PR00027627,680REV9001,Management Cost PFF technical account,191EWS2043,104,1211,1697.98,48376526.57,0.0,2
PR00027627,680REV9001,Management Cost PFF technical account,191ICD2041,104,1211,4122.25,48376526.57,0.01,7
PR00027627,680REV9001,Management Cost PFF technical account,191ICD2042,104,1211,36643.2,48376526.57,0.08,26
PR00027627,680REV9001,Management Cost PFF technical account,191ICD2043,104,1211,4756.38,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,191ORS2041,104,1211,738.76,48376526.57,0.0,5
PR00027627,680REV9001,Management Cost PFF technical account,191ORS2042,104,1211,19077.64,48376526.57,0.04,24
PR00027627,680REV9001,Management Cost PFF technical account,191ORS2043,104,1211,2670.64,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,191OSD2041,104,1211,6463.62,48376526.57,0.01,6
PR00027627,680REV9001,Management Cost PFF technical account,191OSD2042,104,1211,22534.25,48376526.57,0.05,24
PR00027627,680REV9001,Management Cost PFF technical account,191OSD2043,104,1211,4393.29,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,191RCG2041,104,1211,2952.48,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,191RCG2042,104,1211,19253.61,48376526.57,0.04,25
PR00027627,680REV9001,Management Cost PFF technical account,191RCG2043,104,1211,1788.29,48376526.57,0.0,2
PR00027627,680REV9001,Management Cost PFF technical account,193EWS2041,104,1211,11.38,48376526.57,0.0,1
PR00027627,680REV9001,Management Cost PFF technical account,193EWS2042,104,1211,44751.19,48376526.57,0.09,25
PR00027627,680REV9001,Management Cost PFF technical account,193EWS2043,104,1211,5350.86,48376526.57,0.01,2
PR00027627,680REV9001,Management Cost PFF technical account,193OPS2041,104,1211,735.08,48376526.57,0.0,2
