fund,fund_center,avc_bucket,year,fm_revenue_usd,fm_actuals_usd,fm_open_cmt_usd,fmavct_kbfc_usd,fm_pool_usd,fm_pool_method,ps_budget_cum_usd,ps_actuals_cum_usd,ps_cmt_cum_usd,ps_pool_usd,ps_wbs_count,tier,constituent_fipex
PFF,UNESCO,LOSS,2026,0.0,109778460.67,0.0,0.0,-109778460.67,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,LOSS
GEF,UNESCO,LOSS,2026,168.46,441419576.01,0.0,0.0,-441419407.55,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,LOSS
OPF,UNESCO,LOSS,2026,0.0,91972069.14,0.0,0.0,-91972069.14,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,LOSS
GEF,UNESCO,GAINS,2026,259.1,366263609.06,0.0,0.0,-366263349.96,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,GAINS
185GEF0006,YAO,50,2026,0.0,153015.0,0.0,0.0,-153015.0,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,50
185GEF0006,BUJ,50,2026,0.0,97.16,0.0,0.0,-97.16,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,50
402EGY4003,WHC,20,2026,0.0,34.46,80905.42,0.0,-80939.88,fmifiit_fmioi,349532.02,2454179.2,0.0,-2104647.18,15,1,20
OPF,UNESCO,GAINS,2026,0.0,131267773.68,0.0,0.0,-131267773.68,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,GAINS
PFF,UNESCO,GAINS,2026,0.0,112345026.72,0.0,0.0,-112345026.72,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,GAINS
A230544151,TEH,50,2026,0.0,801.1,2078.13,0.0,-2879.23,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,50
GEF,UNESCO,REVENUE,2026,8817715.2,498622858.36,0.0,0.0,-489805143.16,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,REVENUE
549UKR5000,DHE,TC,2026,10375.53,574128.52,3612747.9,10220.65,154.88,fmavct_kbfc,5903958.0,-1997447.51,93.3,7901312.21,10,4,10'|11|13|20|30|40|50
526RAF1007,PLS,30,2026,13966.52,45236.19,0.0,731196.3,-717229.78,fmavct_kbfc,16590387.48,74369545.51,16032901.17,-73812059.2,60,1,30
523GLO1003,GCP,TC,2026,6016.48,143421.71,1016935.62,485.34,5531.14,fmavct_kbfc,2055776.0,18875284.03,6172000.0,-22991508.03,9,3,10'|11|13|20|30
A230543081,RAM,40,2026,0.0,42563.74,183872.51,0.0,-226436.25,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,40
727CHD1012,YAO,TC,2026,87522.0,1996804.33,17943038.37,3480.72,84041.28,fmavct_kbfc,85561709.0,3223070.02,9552568.73,72786070.25,28,4,10'|11|13|20|30|40|50
632HQF9000,OPS,REVENUE,2026,0.0,6152001.89,0.0,0.0,-6152001.89,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,REVENUE
632HQF9003,OPS,REVENUE,2026,0.0,41135.28,0.0,0.0,-41135.28,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,REVENUE
632HQF9004,OPS,REVENUE,2026,0.0,405262.47,0.0,0.0,-405262.47,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,REVENUE
526IRA1000,TEH,40,2026,0.0,48942.36,730129.46,89.84,-89.84,fmavct_kbfc,8647120.66,211962402.62,43800.0,-203359081.96,99,1,40
547RAF1001,HAR,PC,2026,7749.55,85294.82,238876.31,1672.44,6077.11,fmavct_kbfc,10179193.77,13381768.3,117902.58,-3320477.11,62,3,10'|11|13
727UKR1000,E30,50,2026,0.0,26804.87,85646.0,137476.78,-137476.78,fmavct_kbfc,47833715.08,6414728.91,109682.42,41309303.75,59,2,50
635SAD9001,CLD,TC,2026,0.0,106355.49,1127934.76,31528.18,-31528.18,fmavct_kbfc,0.0,0.0,0.0,0.0,0,no_ps_link,13|20|40
A230545101,STG,50,2026,0.0,12277.2,39263.76,0.0,-51540.96,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,50
MBF,UNESCO,LOSS,2026,0.0,29660584.74,0.0,0.0,-29660584.74,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,LOSS
549INT2006,IOC,REVENUE,2026,0.0,217359.74,0.0,0.0,-217359.74,fmifiit_fmioi,166376.73,77044.47,0.0,89332.26,17,2,REVENUE
504MLW4000,HAR,REVENUE,2026,0.0,1300.85,0.0,0.0,-1300.85,fmifiit_fmioi,152846.0,23277.35,0.0,129568.65,5,2,REVENUE
503RSS1000,JUB,REVENUE,2026,0.0,527500.79,0.0,0.0,-527500.79,fmifiit_fmioi,15064153.83,1368173.29,0.0,13695980.54,28,2,REVENUE
526RAF1007,PLS,PC,2026,13008.4,224682.39,677649.26,331189.83,-318181.43,fmavct_kbfc,16590387.48,74369545.51,16032901.17,-73812059.2,60,1,10'|11|13
633CRP7352,TAS,11,2026,17.72,25248.25,147134.84,0.0,-172365.37,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,11
633CRP1602,ABU,10',2026,71.4,39918.47,0.0,0.0,-39847.07,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,10'
185GEF0006,BRV,50,2026,0.0,1449.26,0.0,0.0,-1449.26,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,50
549TAJ1000,ATA,PC,2026,507.71,531567.1,4220096.38,33525.79,-33018.08,fmavct_kbfc,20931353.13,6712230.72,24158.89,14194963.52,60,2,10'|11|13
727MYA1002,BGK,20,2026,0.0,3213647.57,20078900.82,10617.16,-10617.16,fmavct_kbfc,29106250.15,1385969022.87,1316471100.0,-2673333872.72,9,1,20
703UZB1000,TAS,TC,2026,6734.17,138558.35,257234.07,37520.31,-30786.14,fmavct_kbfc,2705250.0,182412747.81,48.38,-179707546.19,10,1,10'|11|13|20|30|40|50
218UZB1000,TAS,TC,2026,10187.53,377965.07,5882100.86,0.0,-6249878.4,fmifiit_fmioi,11328822.42,928673372.22,6023860.62,-923368410.42,8,1,10'|11|13|20|30|40|50
633CRP7352,TAS,20,2026,0.0,1710.84,135385.69,0.0,-137096.53,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,20
221PRC4000,BRV,TC,2026,1400.38,231494.56,424868.14,20986.0,-19585.62,fmavct_kbfc,909745.8,13128.92,23202.35,873414.53,4,2,10'|11|13|20|30|40|50
727MYA1002,BGK,50,2026,0.0,36628.08,140479.84,10452.28,-10452.28,fmavct_kbfc,29106250.15,1385969022.87,1316471100.0,-2673333872.72,9,1,50
727MYA1002,BGK,40,2026,76054.37,339028.71,851839.3,4562.15,71492.22,fmavct_kbfc,29106250.15,1385969022.87,1316471100.0,-2673333872.72,9,3,40
727MYA1005,BGK,TC,2026,3873.29,258649.95,1130355.01,112901.14,-109027.85,fmavct_kbfc,4349462.6,5013518.88,0.0,-664056.28,6,1,10'|11|13|20|30|40|50
197REV4001,WHC,REVENUE,2026,311668.93,2447865.0,0.0,0.0,-2136196.07,fmifiit_fmioi,0.0,-8256814.22,0.0,8256814.22,1,2,REVENUE
199REV9000,CCH,REVENUE,2026,100.0,2240154.96,0.0,0.0,-2240054.96,fmifiit_fmioi,0.0,-6538310.5,0.0,6538310.5,1,2,REVENUE
191RCG2043,IOC,TC,2026,11060.87,65088.59,73962.58,7332.7,3728.17,fmavct_kbfc,1182773.4,27210860.64,2237.89,-26030325.13,11,3,10'|11|13|20|40|50
A230543061,KHA,40,2026,0.0,23189.32,83410.48,0.0,-106599.8,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,40
633CRP7334,KHA,40,2026,0.0,13319.35,28218.7,0.0,-41538.05,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,40
A230545011,BRZ,40,2026,0.0,270.68,1636.66,0.0,-1907.34,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,40
636TPF9000,UNESCO,GAINS,2026,0.0,15627.08,0.0,0.0,-15627.08,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,GAINS
549GLO4003,DCE,PC,2026,5843.38,424690.86,2738261.7,1082.43,4760.95,fmavct_kbfc,15320339.61,5503709.41,241230.05,9575400.15,43,4,10'|11|13
3210251022,PBS,11,2026,0.0,53924.77,495321.13,0.0,-549245.9,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,11
727PAK1000,ISB,TC,2026,20726.79,102871.33,430443.65,169393.05,-148666.26,fmavct_kbfc,3378516.0,724784.39,378000.0,2275731.61,25,2,10'|11|13|20|30|40|50
632HQF9010,CLD,TC,2026,17349.73,1082249.43,6610913.53,3399.61,13950.12,fmavct_kbfc,0.0,0.0,0.0,0.0,0,no_ps_link,11|13|20|40|50
428GLO2042,EES,TC,2026,150.03,10365.71,182855.72,45377.44,-45227.41,fmavct_kbfc,926515.12,231779.35,0.0,694735.77,4,2,10'|11|30
526RAF1009,FLI,50,2026,0.0,7097.75,15804.85,593.49,-593.49,fmavct_kbfc,5750396.0,212648109.72,444374.24,-207342087.96,19,1,50
185GEF0006,WIN,50,2026,0.0,3242.8,0.0,0.0,-3242.8,fmifiit_fmioi,0.0,0.0,0.0,0.0,0,no_ps_link,50
503RAF1003,HAR,PC,2026,14720.42,1893329.55,1165146.79,0.0,-3043755.92,fmifiit_fmioi,108793346.9,882751967.13,52092982.41,-826051602.64,178,1,10'|11|13
727PRC1010,BRV,TC,2026,13544.42,260961.58,316496.71,59369.44,-45825.02,fmavct_kbfc,8128830.57,282688.82,78184.24,7767957.51,40,2,10'|11|13|20|30|40|50
