proj_id,project_name,risk_class,n_funds,total_postings,funds_with_avc,funds_earmarked,funds_full_10digit_match,fund_types,fund_list
00012854,"Our Rights, Our Lives, Our Future (O3) p",A,1,19591,1,1,1,105,503RAF1003
00013104,Special Account Education for Health and,A,1,11860,1,1,1,104,410GLO1042
00012284,CapED Programme - 2022-2025 cycle,A,1,7642,1,1,1,104,467GLO1016
00013080,Global Education Monitoring Report - Spe,A,1,5794,1,1,1,104,459GLO1003
00013091,TWAS Capacity Building Programmes 2024-2,A,1,4656,1,1,1,104,448INT2411
00013092,Earmarked Activities (2024-2025),A,1,4288,1,1,1,104,196EAR4042
00012698,BEARIII Project,A,1,4198,1,1,1,105,526RAF1007
00011668,Skills Development for Employability in,A,1,4158,1,1,1,105,549UZB1000
00012556,Enhancing Employability for Vulnerable Y,A,1,3652,1,1,1,105,526IRQ1000
00012927,Education Sector Program Implementation,A,1,3603,1,1,1,107,727MYA1002
00012520,GEF IW:LEARN 5:Supporting International,A,1,3438,1,1,1,101,GLO0129237
00012898,Heritage and creativity for AlUla's sust,A,1,3416,1,1,1,105,505INT4002
00013488,PROGRAMME DE REFONDATION DE L’ÉCOLE TCHA,A,1,3184,1,1,1,107,727CHD1012
00012667,PROJET RESSOURCES EDUCATIVES PHASE 2,A,1,3031,1,1,1,105,520RAF1015
00012824,GPE System Capacity Grant for Strengthen,A,1,2986,1,1,1,107,727AFG1000
00012860,Strengthening resilience of education sy,A,1,2847,1,1,1,107,727UKR1000
00012800,Strengthening the resilience of Central,A,1,2782,1,1,1,101,RAS0122395
00013261,"Projet Education des Filles, Formation I",A,1,2683,1,1,1,105,520DRC1000
00012935,Reviving Mosul and Basra Old Cities - ph,A,1,2630,1,1,1,105,549IRQ4003
00012210,STEM/ICT ED project in Tajikistan,A,1,2537,1,1,1,105,549TAJ1000
00013046,Equitable Quality Education in Iraq (ITA,A,1,2444,1,1,1,105,549IRQ1004
00012886,O3 Program,A,1,2419,1,1,1,105,547RAF1001
00011734,CFIT III Higher Education in Africa,A,1,2365,1,1,1,105,580RAF1006
00013142,Heritage Emergency Fund (HEF),A,1,2358,1,1,1,104,424GLO4142
00013394,Programme d'appui à la Transformation de,A,1,2356,1,1,1,107,727IVC1004
00012148,Pacific Regional Education Framework (Pa,A,1,2238,1,1,1,107,701RAS1000
00013936,Special Account Education for Health and,A,1,2194,1,1,1,104,410GLO1043
00012916,RESILIAGE,A,1,2109,1,1,1,105,549RER2018
00013203,UNAIDS Core Global 2024/2025,A,1,2047,1,1,1,108,257GLO1048
00012475,Implementing Measures for Climate Change,A,1,1945,1,1,1,107,728HAI2000
00012546,Strategic investment plan for the UNESCO,A,1,1924,1,1,1,105,580GLO0003
00013339,Empowering Education in Uzbekistan: Leve,A,1,1913,1,1,1,108,218UZB1000
00013231,Climate Smart Education Systems - Countr,A,1,1903,1,1,1,107,727GLO1007
00012282,Culture and Creativity for the Western B,A,1,1870,1,1,1,105,549RER4009
00012865,Supporting Member States in implementing,A,1,1832,1,1,1,105,549GLO3003
00013183,UNAIDS Country Envelope 2024/2025,A,1,1822,1,1,1,108,257GLO1047
00012239,Youth Employment through Culture and Her,A,1,1785,1,1,1,105,549YEM4001
00013259,"Reimagina: Schools that innovate, create",A,1,1783,1,1,1,105,570PER1004
00013129,42C/5 OP3: Learners are empowered throug,A,1,1765,1,1,1,104,495GLO1043
00013714,43rd session of the General Conference,A,1,1684,1,1,1,105,543GLO0001
00012910,Decade Coordination Office for Challenge,A,1,1627,1,1,1,105,570GLO2030
00013003,RENFORCEMENT DES CAPACITES DU SYSTEME (S,A,1,1569,1,1,1,107,727DRC1002
00012697,Advancing evidence-based policies and ac,A,1,1565,1,1,1,105,549GLO4003
00013035,ICT Transforming Education in Africa - P,A,1,1511,1,1,1,105,526RAF1009
00012753,Sauvegarde des savoir-faire liés à l'art,A,1,1494,1,1,1,109,938MOR4004
00012838,Latin America and the Caribbean: Strengt,A,1,1478,1,1,1,105,505RLA4000
00012929,DIKTAS-Improving the governance for the,A,1,1473,1,1,1,101,RER0115716
00012283,CapED Programme - Coordination and Techn,A,1,1470,1,1,1,104,467GLO1015
00013086,International Task Force on Teachers for,A,1,1442,1,1,1,104,474GLO1004
00011629,ILK support to the BES-Net II project,A,1,1415,1,1,1,101,GLO0119833
00012407,Securing the right to education for cris,A,1,1343,1,1,1,108,201LEB1002
00013473,Green and Digital TVET for Enhancing Emp,A,1,1313,1,1,1,105,549IRQ1005
00012946,Empowering the Government and Citizens o,A,1,1302,1,1,1,105,501UZB5002
00012543,Multi-Year Resilience Programme for Came,A,1,1283,1,1,1,108,201CMR1004
00012685,Addressing antisemitism through educatio,A,1,1273,1,1,1,105,549RER1001
00011808,Global Education Monitoring Report Actio,A,1,1247,1,1,1,105,549GLO1003
00011872,Reducing vulnerabilities of populations,A,1,1227,1,1,1,107,728RAS2002
00013131,Other functions of the Committee (42C/5),A,1,1184,1,1,1,104,199OTH4142
00013057,GPE 5 System Transformation Grant Progra,A,1,1182,1,1,1,107,727CMB1008
00013402,"Our Rights, Our Lives, Our Future (O3) Z",A,1,1069,1,1,1,105,503ZAM1002
00012848,International Food Atlas and Digital Pla,A,1,1058,1,1,1,105,505GLO4001
00013088,InterAcademy Partnership 2024-2025,A,1,1010,1,1,1,104,448INT2412
00013471,Enhancing Local Resilience Against Flood,A,1,1008,1,1,1,105,570MEX2001
00013127,42 C/5 OP 1,A,1,992,1,1,1,104,495GLO1041
00013269,Faire de la réserve de biosphère de Yang,A,1,992,1,1,1,105,517DRC2003
00013484,Social Media 4 Peace (Phase II),A,1,973,1,1,1,105,549GLO5003
00005745,UNEVOC-INTERNATIONAL CENTRE FOR TVET IN,A,1,964,1,1,1,110,662UNE1000
00012683,Savoir-faire et entrepreunariat,A,1,946,1,1,1,105,570MOR1001
00013128,42 C/5 OP2,A,1,939,1,1,1,104,495GLO1042
00012097,History and Peace Education Project in T,A,1,934,1,1,1,105,526TLS1001
00013043,Sustainably unlocking the economic poten,A,1,933,1,1,1,108,221KEN2000
00013039,Technical Assistance for Transforming Te,A,1,931,1,1,1,105,525JOR1001
00012931,Technology-enabled Open Schools for All,A,1,924,1,1,1,105,570GLO1032
00013141,42C/5 OP4,A,1,924,1,1,1,104,495GLO1044
00013403,"Our Rights, Our Lives, Our Future (O3) M",A,1,923,1,1,1,105,504MLW1001
00012161,Appui au développement local à travers l,A,1,917,1,1,1,109,927CMR5001
00012917,NBSINFRA,A,1,903,1,1,1,105,549RER2019
00012944,Sustaining Our Oceans,A,1,897,1,1,1,105,570RAS1008
00012952,Modernization of the National Instructor,A,1,876,1,1,1,105,526IRA1000
00012684,Fostering community-based development th,A,1,835,1,1,1,105,570GLO4029
00013274,Education and Youth Empowerment in Niger,A,1,828,1,1,1,105,549NIR1000
00013157,System Capacity Grant and System Transfo,A,1,806,1,1,1,108,201ZIM1002
00012802,Ocean Decade Capacity Development Facili,A,1,802,1,1,1,105,513GLO2052
00013576,Support to TVET for Value chain developm,A,1,802,1,1,1,107,702RSS1000
00013171,42C/5 OP7,A,1,785,1,1,1,104,495GLO1047
00013870,Global Education Monitoring Report - Spe,A,1,774,1,1,1,104,459GLO1004
00012127,Guerlain women for bees programme,A,1,762,1,1,1,105,570GLO2029
00013605,UNESCO-PJMF Collaboration on Promoting E,A,1,752,1,1,1,105,570GLO3027
00012490,Education for Rohingya Refugee Children,A,1,743,1,1,1,108,201BGD1001
00012932,Local Communities and Sustainable Touris,A,1,743,1,1,1,105,534JOR4005
00013137,International assistance (42 C/5),A,1,742,1,1,1,104,199IAS4142
00013122,Provision of technical support for the I,A,1,735,1,1,1,108,213GLO2020
00013977,TWAS Capacity Building Programmes 2026-2,A,1,732,1,1,1,104,448INT2611
00012882,Building Trust in Media in South East Eu,A,1,723,1,1,1,105,549RER5005
00012669,Groundwater resources in the Greater Mek,A,1,709,1,1,1,107,728RAS2003
00013425,The Project for Development of Mass Medi,A,1,705,1,1,1,105,542RSS5000
00013053,Enhancing sustainability of the Transbou,A,1,704,1,1,1,108,259RAS2000
00012310,Preservation and Awareness-raising of Do,A,1,683,1,1,1,105,505RAB5000
00012841,Creating a Sustainable Heritage Ecosyste,A,1,683,1,1,1,105,505RAF4001
00013161,42C/5 OP8,A,1,678,1,1,1,104,495GLO1048
00012941,SYNERGIES,A,1,675,1,1,1,105,549RER2020
00013033,Developing in-house consulting capacity,A,1,669,1,1,1,105,549RER3004
00013224,Accountability for Gender Equality in Ed,A,1,658,1,1,1,105,525GLO1005
00012430,Latin American Laboratory for Assessment,A,1,654,1,1,1,104,475RLA1041
00012942,Biodiversity Business in Omo Biosphere R,A,1,639,1,1,1,101,NIR1001324
00011753,Promoting ICT Capacity Building and Open,A,1,636,1,1,1,105,580GLO1001
00012541,Strengthening stewardship through cooper,A,1,630,1,1,1,101,INT0128886
00012751,Marine Protected Areas Europe,A,1,630,1,1,1,105,549RER2015
00013632,UNESCO – Nestlé Alliance – Youth Impact:,A,1,628,1,1,1,105,570GLO3028
00013740,The UNESCO International Program on Holo,A,1,623,1,1,1,105,523GLO1003
00013262,Fostering Positive Social Transformation,A,1,619,1,1,1,105,505SAU3000
00013048,IOC Capacity Development,A,1,616,1,1,1,104,191ICD2042
00013386,SUD-INCA Invest in Capability in Sudan B,A,1,615,1,1,1,105,534SUD1001
00013016,Promoting Sustainable Tourism in Mongoli,A,1,611,1,1,1,105,570MON2000
00013490,Sustainable tourism by strengthening loc,A,1,602,1,1,1,105,570MEX4002
00013438,Transforming futures: Enhancing capaciti,A,1,597,1,1,1,105,533GLO1002
00013212,Lifting barriers - Educated boys for gen,A,1,586,1,1,1,105,525GLO1004
00013087,Enhancing human resources to improve Int,A,1,585,1,1,1,104,199EHR4142
00013470,Rapariga Biz phase 2 new,A,1,583,1,1,1,108,218MOZ1003
00001835,PRIX FELIX HOUPHOUET-BOIGNY POUR LA RECH,A,1,571,1,1,1,104,441GLO0056
00013213,Appui à la protection des jeunes défense,A,1,569,1,1,1,105,235MAG5003
00013899,Earmarked Activities (2026-2027),A,1,561,1,1,1,104,196EAR4043
00012145,Empowering youth and local women for str,A,1,558,1,1,1,105,570VIE4003
00012491,Consolidating the Gains in Policy Develo,A,1,552,1,1,1,105,556GLO5001
00012682,Culture for Peace and Resilience: Creati,A,1,550,1,1,1,105,514UKR4000
00013542,Digital Access and Rural Empowerment (DA,A,1,542,1,1,1,105,570GHA1000
00013290,Enhancing Transnational Cooperation and,A,1,536,1,1,1,105,526RAS4028
00013153,42C/5 OP9,A,1,529,1,1,1,104,495GLO1049
00013270,FACE NDC,A,1,529,1,1,1,108,259ZAM1001
00013040,Scaling-Up and Strengthening the Resilie,A,1,526,1,1,1,105,549INT2008
00013165,Partnership La Caixa Foundation,A,1,515,1,1,1,105,570GLO3024
00001791,SPECIAL ACCOUNT FOR OCAMPO DONATIONS,A,1,513,1,1,1,104,422ARG0005
00014005,MAB Special Account - 43C5,A,1,501,1,1,1,104,439GLO2043
00012552,Ukraine - Strengthening Physical and Psy,A,1,494,1,1,1,104,473UKR1000
00013413,Soutenir l'accès à une éducation de qual,A,1,487,1,1,1,108,218HAI1000
00013460,Economic empowerment through community-b,A,1,476,1,1,1,105,525AFG1001
00013264,Communications plan on UNESCO / RCU part,A,1,472,1,1,1,105,505SAU0001
00012087,Reconstruction et réhabilitation du patr,A,1,470,1,1,1,105,570MLI4001
00011969,International capacity-building program:,A,1,468,1,1,1,105,525GLO1003
00013730,MSPglobal 3.0,A,1,465,1,1,1,105,549GLO2017
00013416,Sudan Transitional Education Plan 2025 -,A,1,455,1,1,1,107,727SUD1000
00013530,Preserving Ukraine’s Jewish documentary,A,1,453,1,1,1,105,549UKR5000
00013979,OWSD 2026-2027: women in science from de,A,1,439,1,1,1,104,448INT2613
00011719,Catalysing Investment into Renewable Ene,A,1,436,1,1,1,108,263ZIM2000
00013496,Improved basic services and increased li,A,1,436,1,1,1,105,549AFG5001
00013400,Project for the UNESCO IESALC Program in,A,1,435,1,1,1,105,917URU1001
00013978,InterAcademy Partnership 2026-2027,A,1,424,1,1,1,104,448INT2612
00013444,Fostering STEM Education in Africa and S,A,1,420,1,1,1,105,580INT1001
00013405,Global Observatory of Teacher policies a,A,1,408,1,1,1,105,570GLO1036
00013615,Enhancing Flood Resilience for Tana Rive,A,1,406,1,1,1,105,567KEN2000
00013451,Youth for Peace: UNESCO Intercultural Le,A,1,404,1,1,1,105,570GLO3026
00013686,Economic empowerment through skills deve,A,1,402,1,1,1,108,201AFG1002
00013498,DIRECT,A,1,397,1,1,1,105,549GBS1000
00013302,Strengthening Holistic Approaches and Pr,A,1,389,1,1,1,105,570GLO1035
00012449,Preparation of sections of Global Partne,A,1,388,1,1,1,107,700GLO1005
00013581,Renforcement des capacités d'adaptation,A,1,378,1,1,1,108,221PRC4000
00013376,Piloting a whole school approach to ment,A,1,376,1,1,1,105,549FRA1000
00012871,Support sustainable tourism through safe,A,1,367,1,1,1,108,218PAL4000
00013377,NFiT projects for World Heritage 2023 Bu,A,1,367,1,1,1,105,519GLO4004
00013953,2026-2027- Outcome 1: MDP on Freedom of,A,1,362,1,1,1,104,408FOE5043
00013280,South Sudan Multi Year Resilience Progra,A,1,358,1,1,1,105,570RSS1000
00013135,Sub-fund for enhancing the human capacit,A,1,355,1,1,1,104,199PER4142
00013733,Strengthening Teacher Training in Uzbeki,A,1,353,1,1,1,105,703UZB1000
00013616,"Strengthening Science, Technology, and I",A,1,348,1,1,1,105,545RAF2000
00012001,Shanghai-FIT,A,1,346,1,1,1,105,580INT1000
00013328,SOILSCAPE,A,1,345,1,1,1,105,549RER2022
00013549,Africa-Europe Partnerships for Culture,A,1,341,1,1,1,105,549RAF4002
00013592,ReLISA - Landscape Restoration in South,A,1,335,1,1,1,108,213SAF2001
00013881,Top WBS: UNESCO/Aschberg Programme for a,A,1,330,1,1,1,104,308GLO4143
00013423,UNESCO Global Youth Grant Scheme,A,1,325,1,1,1,104,477GLO3000
00013472,Programme Development Grant for STG in M,A,1,324,1,1,1,107,727RAF1002
00013669,"Changement climatique, paix et sécurité",A,1,323,1,1,1,105,235MAG2000
00013257,"Promotion of improved Health, Nutrition,",A,1,322,1,1,1,108,221PRC1001
00013169,Enhancing the Protection of and Access t,A,1,315,1,1,1,105,514RLA4006
00013310,DigiKen - Digital Platforms Kenya,A,1,315,1,1,1,105,263KEN5000
00012402,The UNESCO-Al Fozan International Prize,A,1,314,1,1,1,104,469GLO2007
00013502,Communautés et peuples autochtones dans,A,1,310,1,1,1,105,549CMR4000
00012819,Strengthening local communities' adaptiv,A,1,309,1,1,1,107,728ZIM2000
00013478,Governance of Digital Platforms.,A,1,308,1,1,1,105,549GLO5002
00013186,UN Water - Accelerating progress on SDG,A,1,307,1,1,1,108,251GLO2005
00004937,UNESCO King Sejong Literacy Prize,A,1,306,1,1,1,104,469GLO1003
00012966,Resilient UNESCO-designated sites and ne,A,1,301,1,1,1,105,555RAS2025
00012977,Radio Education - Promotion of Learning,A,1,299,1,1,1,105,534PAK1001
00013584,Strengthening resilience on water-relate,A,1,297,1,1,1,105,567GHA2000
00013856,Projet d'Amelioration de la Qualité des,A,1,296,1,1,1,107,727BDI1004
00012191,Breaking Silence: enhance accountability,A,1,292,1,1,1,105,519IRQ5001
00013635,China Funds-in-Trust (Quanzhou) for Capa,A,1,289,1,1,1,105,580RAF4001
00012056,Youth Coding Intiative,A,1,287,1,1,1,104,412INT0001
00012664,Campagne de verdissement et de sensibili,A,1,286,1,1,1,108,272GAB2000
00013197,Projet conjoint MPTF Droits de l'Homme a,A,1,285,1,1,1,108,218BDI5000
00013709,GPE SCG Myanmar,A,1,282,1,1,1,107,727MYA1005
00013314,Ciberciudadanos jóvenes construyendo paz,A,1,281,1,1,1,108,235GUA1002
00013202,A more Equitable Society: Promoting Soci,A,1,279,1,1,1,108,235BIH4002
00013782,Horizons in Amazon,A,1,278,1,1,1,105,570PER1007
00013037,Strengthening teacher policy and practic,A,1,276,1,1,1,105,549RAF1001
00013477,Enabling Digital Transformation and Impr,A,1,276,1,1,1,105,218GUA5000
00013172,Indigenous Knowledge and Nature-Based So,A,1,275,1,1,1,105,514RLA2004
00012971,Support South Asian Heritage Sites Manag,A,1,273,1,1,1,105,526RAS4027
00013657,MangRes Phase 2: Mangrove Restoration as,A,1,273,1,1,1,105,513RLA2041
00013379,AI-Ready Flemish Public Administration,A,1,268,1,1,1,105,549BEL3000
00011987,Alphabétisation fonctionnelle des commer,A,1,267,1,1,1,105,570IVC1000
00013143,Participation of States Members of the C,A,1,267,1,1,1,104,199MEM4142
00012342,Hydro-Resilience: Citizen and Open Scien,A,1,262,1,1,1,105,513GLO2050
00012969,Provision of basic general literacy and,A,1,262,1,1,1,108,271AFG1003
00012970,00140283-Protecting Farm-based Livelihoo,A,1,262,1,1,1,108,271AFG4005
00013609,Disaster Risk Management in Iran,A,1,256,1,1,1,105,567IRA2000
00012959,Developing inclusive education systems:,A,1,254,1,1,1,105,514RLA1045
00013031,Kahuzi Biega and Kibira Forest Sanctuari,A,1,254,1,1,1,108,218BDI2000
00013448,Preventing Violence through Education in,A,1,254,1,1,1,105,549ELS1000
00013932,"43C/5 Output 1.10 SDG4 coordination, mon",A,1,254,1,1,1,104,495GLO1059
00012142,Programme on Culture and Digital Technol,A,1,247,1,1,1,105,505INT4000
00013089,OWSD 2024-2025: women in science from de,A,1,245,1,1,1,104,448INT2413
00012658,MARCO-BOLO: MARine COastal BiOdiversity,A,1,244,1,1,1,105,549RER2014
00013818,Local Circular Economy and Sustainable T,A,1,239,1,1,1,105,526PER4000
00013238,International Fund for Cultural Diversit,A,1,238,1,1,1,104,182GLO4042
00013017,Services for promotional activities (202,A,1,236,1,1,1,104,196DIP4042
00013702,Multiannual Resilience Project for Educa,A,1,236,1,1,1,105,570PER1006
00013038,Enhancing citizens' trust in institution,A,1,234,1,1,1,108,235MNE4001
00013034,"Teacher Task Force - Knowledge creation,",A,1,231,1,1,1,105,507GLO1037
00013041,ALBATROSS,A,1,230,1,1,1,105,549RAF2004
00013673,Advancing preservation and accessibility,A,1,228,1,1,1,105,537RAF5001
00013293,PBF: Social Dialogue for Peace and Crisi,A,1,227,1,1,1,108,235SRL3000
00013170,Secondment of Official of the Ministry o,A,1,226,1,1,1,105,537GLO0001
00013338,Preserving endangered traditional crafts,A,1,226,1,1,1,105,549PAL4002
00013251,"Empowering Minds, Transforming Lives: Ma",A,1,225,1,1,1,105,570GLO3025
00013664,SEAMARCS - Strengthening Sea Level Monit,A,1,224,1,1,1,105,513RAF2042
00013459,Science for Sustainable Development in S,A,1,223,1,1,1,104,650RER2003
00012400,Gansu Revitalization and Innovation Proj,A,1,221,1,1,1,107,700CPR4000
00011983,"Strengthening Disability Rights, Accessi",A,1,218,1,1,1,108,261CMR3000
00013756,Programme d’Appui au Renforcement de la,A,1,214,1,1,1,107,727PRC1010
00011903,SUPPORTING CAPACITY-BUILDING FOR NOMINAT,A,1,213,1,1,1,105,527RAF4000
00013167,Contribution to the United Nations Trans,A,1,213,1,1,1,104,416GLO1042
00011145,SDCI Phase II,A,1,209,1,1,1,105,526RAS4023
00013544,"""GPE"" TA to Strengthen Jordan’s Educatio",A,1,208,1,1,1,107,727JOR1000
00012505,GEF IW:LEARN5 - International Waters: Le,A,1,206,1,1,1,108,213GLO2018
00013196,42C/5 ED5,A,1,206,1,1,1,104,495GLO1045
00013009,"Strengthening a Climate Smart, Green, an",A,1,205,1,1,1,105,504NEP1000
00013114,International Assistance (2024-2025),A,1,205,1,1,1,104,198CSV4542
00013401,Women in South Sudan's Security Sector:,A,1,205,1,1,1,108,235RSS1001
00012593,Ukraine - Programme coordination in situ,A,1,204,1,1,1,104,473UKR0002
00013160,Fund of the 1970 Convention on the Means,A,1,203,1,1,1,104,170GLO4042
00013430,GREEN AL-SALT: PUBLIC SPACES AND LIVING,A,1,203,1,1,1,108,221JOR4000
00013869,Heritage Emergency Fund (HEF),A,1,203,1,1,1,104,424GLO4143
00013024,BioEcoOcean,A,1,199,1,1,1,105,549RER2021
00013742,GPE STG Programme Development Grant,A,1,198,1,1,1,107,727BGD1002
00013209,Renforcer l'application de la Convention,A,1,195,1,1,1,105,520GLO4010
00013267,Programme of emergency assistance for Ga,A,1,194,1,1,1,104,473PAL1000
00013036,Addressing students' learning gaps to en,A,1,191,1,1,1,105,526RAS1036
00013216,South South Cooperation G77+China,A,1,190,1,1,1,104,463GLO1000
00013649,Himachal Pradesh - FUTURES,A,1,189,1,1,1,109,922IND1000
00013164,Technical support to Libya on the monito,A,1,188,1,1,1,104,473LIB2000
00013319,Decent Employment for Youth in Cambodia,A,1,187,1,1,1,108,221CMB1001
00013364,Building capacities for safeguarding liv,A,1,186,1,1,1,105,537RAF4004
00013660,Towards climate solutions for the safegu,A,1,185,1,1,1,105,570GLO2041
00013778,Supporting schools in the AI evolution,A,1,185,1,1,1,105,549RER1002
00012893,eDNAqua-Plan,A,1,183,1,1,1,105,549RER2016
00013877,REVIVING THE WORLD HERITAGE SITE OF  ERB,A,1,182,1,1,1,105,570IRQ4002
00012878,Emergency protection of cultural heritag,A,1,181,1,1,1,104,473UKR4002
00013371,Strategic Workforce Planning for Teacher,A,1,180,1,1,1,105,549IRE1000
