TREE_ID,STATUS,NODE_ID,TECH_NAME,D01_VALUE,P01_VALUE,DETAIL
/CGI_XML_CT_UNESCO_1,CHANGED,N_0711160730,Nm,,,MP_SC_TAB: D01='FPAYHX' P01=''; MP_SC_FLD: D01='NAMEZ' P01=''
/CGI_XML_CT_UNESCO_1,ONLY_D01,N_6366307580,SCB,exists,missing,
/CGI_XML_CT_UNESCO_1,ONLY_P01,N_4479927170,AdrLine2,missing,exists,
/CGI_XML_CT_UNESCO_1,ONLY_P01,N_9270087220,AdrLine1,missing,exists,
/CGI_XML_CT_UNESCO_1,ONLY_P01,N_8916026460,AdrLine1,missing,exists,
/CGI_XML_CT_UNESCO_1,ONLY_P01,N_3578098180,AdrLine,missing,exists,
/CGI_XML_CT_UNESCO_1,ONLY_P01,N_9204653810,AdrLine,missing,exists,
/CGI_XML_CT_UNESCO_1,ONLY_P01,N_3156850640,AdrLine2,missing,exists,
/CGI_XML_CT_UNESCO_1,ONLY_P01,N_7496220820,AdrLine,missing,exists,
/CGI_XML_CT_UNESCO_1,ONLY_P01,N_6139351280,AdrLine,missing,exists,
