_TREE_TYPE,_TREE_ID,NODE_ID,PARENT_ID,NODE_TYPE
PAYM,/CGI_XML_CT_UNESCO,N_0003661540,N_3077368890,TECH
PAYM,/CGI_XML_CT_UNESCO,N_0003959320,N_5605414550,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0018704260,N_5834095640,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0037190360,N_4259075460,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0063778710,N_3043492130,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0076638040,N_3816618790,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0079165060,N_3259090940,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0080854690,N_7102157750,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0094145060,N_8275352230,TECH
PAYM,/CGI_XML_CT_UNESCO,N_0132006970,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0150122210,N_0691968180,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0200425770,N_3816618790,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0200816950,N_3663990150,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0287089780,N_1235564610,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0293281340,N_1160789980,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0297118830,N_0552596500,TECH
PAYM,/CGI_XML_CT_UNESCO,N_0300225030,N_6406447170,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0302951040,N_4163092720,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0310946280,N_1602061050,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0314094650,N_1841606350,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0321814050,N_5166812020,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0324114080,N_0698467000,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0330017550,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0334948600,N_7407754150,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0354341350,N_3541914060,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0377008530,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0383286740,N_4360444640,TECH
PAYM,/CGI_XML_CT_UNESCO,N_0383793140,N_5443906990,TECH
PAYM,/CGI_XML_CT_UNESCO,N_0457922850,N_3842760480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0465834030,N_5473031100,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0470424190,N_5834095640,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0471688500,N_5473031100,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0489973700,N_3346275370,TECH
PAYM,/CGI_XML_CT_UNESCO,N_0510907600,N_0330017550,TECH
PAYM,/CGI_XML_CT_UNESCO,N_0514307750,N_8190227710,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0547606300,N_3842760480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0552596500,N_5163414480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0595632050,N_3728484300,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0604654920,N_4641247600,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0612315180,N_4049428870,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0620492590,N_4634017880,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0627935360,N_7887534710,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0630204710,N_7297798890,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0631440390,N_5383824460,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0633998830,N_7390709130,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0640181980,N_2851824500,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0653427090,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0659954610,N_3816618790,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0677581850,N_7887534710,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0691968180,N_2962395400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0693479130,N_0978274660,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0698467000,N_5206513830,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0711160730,N_3738885180,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0719787650,N_9548754410,XMAT
PAYM,/CGI_XML_CT_UNESCO,N_0721840620,N_3728484300,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0808556820,N_6394567820,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0812306550,N_3839776710,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0831273940,N_2375997480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0832103570,N_3498213760,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0846989380,N_7407754150,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0853780990,N_1841606350,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0856629490,N_0653427090,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0885541790,N_2371218210,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0945185490,N_5064979580,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0952366330,N_3842760480,TECH
PAYM,/CGI_XML_CT_UNESCO,N_0955773720,N_6466039970,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_0978274660,N_8491121660,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1011783010,N_0693479130,TECH
PAYM,/CGI_XML_CT_UNESCO,N_1019985680,N_3346275370,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1096300400,N_4664202220,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1122656490,N_5064979580,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1135474770,N_7368517580,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1138692080,N_6406447170,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1139283400,N_3816618790,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1160789980,N_6210260290,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1164378990,N_8218320160,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_1235564610,N_5163414480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1257377560,N_0132006970,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1269645740,N_3829478300,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1294227340,N_6680752060,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1304442540,N_1235564610,TECH
PAYM,/CGI_XML_CT_UNESCO,N_1312690630,N_1139283400,TECH
PAYM,/CGI_XML_CT_UNESCO,N_1318637130,N_6294588020,TECH
PAYM,/CGI_XML_CT_UNESCO,N_1324509990,N_7407754150,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1326271730,N_2851824500,TECH
PAYM,/CGI_XML_CT_UNESCO,N_1354320630,N_7848207940,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1402050630,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1429031250,N_0287089780,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1436085460,N_4634017880,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1441905910,N_8311560080,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1477731070,N_9606565700,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1498331320,N_0978274660,TECH
PAYM,/CGI_XML_CT_UNESCO,N_1498466520,N_7469163780,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1562432500,N_6259365580,XMAT
PAYM,/CGI_XML_CT_UNESCO,N_1585981260,N_6769620420,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_1591612430,N_7025030710,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1601503000,N_0080854690,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1602061050,N_1139283400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1604372870,N_5749715530,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1605357440,N_9413293970,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1615123720,N_5166812020,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1622469640,N_3842760480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1676766900,N_5831535930,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1678763760,N_8630803100,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1709533600,N_8311560080,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1716940280,N_5064979580,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1767414910,N_5166812020,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1771370010,N_8251018140,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1797442920,N_1716940280,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_1828328130,N_3738885180,TECH
PAYM,/CGI_XML_CT_UNESCO,N_1835092810,N_3346275370,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1841606350,N_7369527230,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1847754900,N_2067850270,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_1922504750,N_2689587420,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_1928377250,N_0945185490,XMAT
PAYM,/CGI_XML_CT_UNESCO,N_1935991060,N_7887534710,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1941545910,N_1716940280,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_1948720730,N_1841606350,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1950169200,N_8381033730,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_1984035110,N_8953239690,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2021551900,N_0856629490,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2033487190,N_5498165460,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2045777210,N_1498466520,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2067850270,N_5649723900,XMAT
PAYM,/CGI_XML_CT_UNESCO,N_2068213470,N_6294588020,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2086830710,N_2753568390,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2089048150,N_5163414480,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2112991760,N_2760349120,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2114725670,N_0132006970,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2119678460,N_4981086760,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2122158140,N_4360444640,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2161019450,N_2045777210,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2170156590,N_9413293970,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2172489150,N_2962395400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2174147050,N_4634017880,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2191345180,N_7469163780,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2223569370,N_5383824460,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2236809990,N_1402050630,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2242185920,N_7848207940,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2260960950,N_3816618790,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2270667760,N_4634017880,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2284171050,N_4360444640,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2293686690,N_5064979580,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2294947980,N_1716940280,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_2303350700,N_9195885710,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2317991840,N_7102157750,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2326418530,N_1160789980,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2329002840,N_5207120400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2371218210,N_3043492130,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2375997480,N_7407754150,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2405519130,N_6210260290,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2428839270,N_2236809990,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2431307040,N_7044805160,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2463988380,N_0856629490,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2466426040,N_0978274660,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2471894210,N_8573923400,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2473191980,N_0808556820,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2480016880,N_8630803100,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2517145460,N_6582554760,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2524041960,N_3842760480,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2524282270,N_5443906990,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2555466520,N_1402050630,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2560946480,N_3346275370,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2629026670,N_6620186670,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2652175830,N_6690387510,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2662885070,N_2689587420,ATOM
PAYM,/CGI_XML_CT_UNESCO,N_2664646900,N_1235564610,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2666998660,N_7522067540,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2667125260,N_5099563850,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2679579520,N_3842760480,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2682773050,N_2795997530,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2683114060,N_1235564610,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2689587420,N_3346275370,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2753568390,N_0080854690,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2760349120,N_8957263060,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2767025720,N_2114725670,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2778617770,N_9606565700,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2794070060,N_6680752060,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2795997530,N_6210260290,ELEM
PAYM,/CGI_XML_CT_UNESCO,N_2825111010,N_6210260290,TECH
PAYM,/CGI_XML_CT_UNESCO,N_2834669310,N_6294588020,ELEM
