NODE_ID,VERSION,COND_NUMBER,ARG1_TYPE,ARG1_TAB,ARG1_FLD,OPERATOR,ARG2_CONST
N_1215903670,001,001,2,FPAYHX,REF01,<>,SPACE
N_1396453300,001,001,2,FPAYHX,REF01,<>,SPACE
N_1781756050,001,001,2,FPAYP,NAME1,<>,SPACE
N_1781756050,001,002,2,FPAYP,NAME1,<>,
N_2703639030,001,001,2,FPAYHX,REF01,<>,SPACE
N_3311263550,001,001,2,FPM_SEPA,XMLNS,<>,SPACE
N_3513093480,001,001,2,FPAYH,ZSTRA,<>,SPACE
N_4704385380,001,001,2,FPAYP,REF01,<>,SPACE
N_4754354180,001,001,2,FPAYHX,ZPLOR,<>,SPACE
N_4946758140,001,001,2,FPAYHX,ORT1Z,=,SPACE
N_5832864770,001,001,2,FPAYHX,UBWAE,<>,SPACE
N_5958302950,001,001,2,FPAYHX,AUST1,<>,SPACE
N_6010401760,001,001,2,FPM_SEPA,XSI,<>,SPACE
N_6048457700,001,001,2,FPM_SEPA,SCHEMALOCATION,<>,SPACE
N_6054982000,001,001,2,FPAYHX,ZPFST,=,SPACE
N_6307338780,001,001,3,,,=,SPACE
N_6343458710,001,001,2,FPAYHX,ZPLOR,=,SPACE
N_6621347550,001,001,2,FPM_SEPA,XMLNS,=,SPACE
N_7064046520,001,001,2,FPAYH,ZORT1,<>,SPACE
N_7315391560,001,001,2,FPAYP,BNAME,<>,SPACE
N_7315391560,001,002,2,FPAYP,BNAME,<>,
N_7609981350,001,001,2,FPAYHX,ORT1Z,<>,SPACE
N_8313338750,001,001,2,FPM_SEPA,XSI,=,SPACE
N_9746682670,001,001,2,FPAYHX,AUST1,=,SPACE
N_9840226220,001,001,2,FPAYH,ZPSTL,<>,SPACE
N_9866937420,001,001,3,,,=,SPACE
