ARG2_XPARAM,ARG2_FLD,COND_NUMBER,ARG1_TYPE,ARG2_CONST,LINK_OPERATOR,ARG1_NODE_ATTR,ARG2_NODE_ATTR,TREE_TYPE,ARG2_NODE,ARG2_TAB,ARG1_FLD,ARG1_NODE,ARG1_CONST,VERSION,ARG2_TYPE,NODE_ID,ARG1_TAB,ARG1_XPARAM,CD_EXIT_FUNC,TREE_ID,ARG2_REF_NAME,ARG1_REF_NAME,_tree_id,OPERATOR
 ,                              ,001,2,SPACE                                                                                                                               ,AND,  ,  ,PAYM,            ,,NAME1                         ,            ,                                                                                                                                    ,000,1,N_1781756050,FPAYP                         ,1,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
1,ZNME1                         ,002,2,                                                                                                                                    ,   ,  ,  ,PAYM,            ,FPAYH,NAME1                         ,            ,                                                                                                                                    ,000,2,N_1781756050,FPAYP                         ,1,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
 ,                              ,001,2,SPACE                                                                                                                               ,   ,  ,  ,PAYM,            ,,XMLNS                         ,            ,                                                                                                                                    ,000,1,N_3311263550,FPM_SEPA                      ,4,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
 ,                              ,001,2,SPACE                                                                                                                               ,   ,  ,  ,PAYM,            ,,ZPLOR                         ,            ,                                                                                                                                    ,000,1,N_4754354180,FPAYHX                        ,1,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
 ,                              ,001,2,SPACE                                                                                                                               ,   ,  ,  ,PAYM,            ,,ORT1Z                         ,            ,                                                                                                                                    ,000,1,N_4946758140,FPAYHX                        ,1,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
 ,                              ,001,2,SPACE                                                                                                                               ,   ,  ,  ,PAYM,            ,,UBWAE                         ,            ,                                                                                                                                    ,000,1,N_5832864770,FPAYHX                        ,1,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
 ,                              ,001,2,SPACE                                                                                                                               ,   ,  ,  ,PAYM,            ,,AUST1                         ,            ,                                                                                                                                    ,000,1,N_5958302950,FPAYHX                        ,1,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
 ,                              ,001,2,SPACE                                                                                                                               ,   ,  ,  ,PAYM,            ,,XSI                           ,            ,                                                                                                                                    ,000,1,N_6010401760,FPM_SEPA                      ,4,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
 ,                              ,001,2,SPACE                                                                                                                               ,   ,  ,  ,PAYM,            ,,SCHEMALOCATION                ,            ,                                                                                                                                    ,000,1,N_6048457700,FPM_SEPA                      ,4,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
 ,                              ,001,2,SPACE                                                                                                                               ,   ,  ,  ,PAYM,            ,,ZPFST                         ,            ,                                                                                                                                    ,000,1,N_6054982000,FPAYHX                        ,1,,/SEPA_CT_UNES                 ,            ,            ,/SEPA_CT_UNES,<>
