NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,TREE_ID,VERSION,LEV,FIRSTCHILD_ID,LENGTH,MP_OFFSET,MP_SC_OFFSET,CV_RULE,TAB_KEYFLD,MP_SELECTION,DATA_TYPE,MP_SC_TAB,MP_SC_FLD,MP_EXIT_FUNC,MP_CONST,REF_NAME,MP_IF_TP,BROTHER_ID
N_0176201200,N_0206686030,InstdAmt,ELEM,/SEPA_CT_UNES,001,000,N_8516624060,0015,000,000,AL.2,,2,P,FPAYH,RWBTR,,,IA,1,
N_0179888070,N_9961450310,CreDtTm,ELEM,/SEPA_CT_UNES,001,001,N_6647036830,0019,000,000,,,6,C,,,DMEE_EXIT_SE_DATE,,,,N_1863004460
N_0206686030,N_9145273120,Amt,ELEM,/SEPA_CT_UNES,001,003,N_0176201200,0000,000,000,,,8,C,,,,,,,N_7315391560
N_0639541490,N_1725392490,IBAN,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,,,2,C,FPAYH,ZIBAN,,,,1,
N_0763355730,N_6289915400,-,ATOM,/SEPA_CT_UNES,001,000,,0001,002,000,,,1,C,,,,-,,,N_4604210940
N_0843213020,N_0179888070,MM,ATOM,/SEPA_CT_UNES,001,000,,0002,005,004,CL,,2,C,SYST,DATLO,,,,5,N_9079232430
N_0856187240,N_6289915400,DOC1R(4),ATOM,/SEPA_CT_UNES,001,000,,0001,000,003,,,2,C,FPAYH,DOC1R,,,,1,N_2257360070
N_0875432660,N_9145273120,RmtInf,ELEM,/SEPA_CT_UNES,001,003,N_7493536070,0000,000,000,,,8,C,,,,,,,N_2411930340
N_0933751040,N_7493536070,REFERENCE3,ATOM,/SEPA_CT_UNES,001,000,,0032,000,000,CL RP    X,1,2,C,DMEE_PAYD,TEXT,,,,3,N_2378752350
N_1114124980,N_9145273120,CdtrAcct,ELEM,/SEPA_CT_UNES,001,003,N_1725392490,0000,000,000,,,8,C,,,,,,,N_1781756050
N_1215903670,N_9926185740,StrtNm,ELEM,/SEPA_CT_UNES,001,002,,0060,000,000,CL RP    X,,2,C,FPAYHX,REF01,,,,1,N_1396453300
N_1307819380,N_1769383930,Id,ELEM,/SEPA_CT_UNES,001,000,N_7551683230,0000,000,000,,,8,C,,,,,,,N_5832864770
N_1348246140,N_4880705930,xmlns:xsi,XMAT,/SEPA_CT_UNES,001,000,N_8313338750,0000,000,000,,,6,C,,,,,,,N_6048457700
N_1374946860,N_3212123950,MM,ATOM,/SEPA_CT_UNES,001,000,,0002,005,004,CL,,2,C,FPAYH,AUSFD,,,,1,N_5298508320
N_1396453300,N_9926185740,BldgNb,ELEM,/SEPA_CT_UNES,001,000,,0010,000,100,CL RP    X,,2,C,FPAYHX,REF01,,,,1,N_2703639030
N_1420837010,N_0179888070,DD,ATOM,/SEPA_CT_UNES,001,000,,0002,008,006,CL,,2,C,SYST,DATLO,,,,5,N_3751282570
N_1489713350,N_7251154690,PmtInf,ELEM,/SEPA_CT_UNES,001,002,N_9198189290,0000,000,000,,,8,C,,,,,,,N_5323647340
N_1600557490,N_8123082880,FinInstnId,ELEM,/SEPA_CT_UNES,001,000,N_9119400740,0000,000,000,,,8,C,,,,,,,
N_1725392490,N_1114124980,Id,ELEM,/SEPA_CT_UNES,001,000,N_0639541490,0000,000,000,,,8,C,,,,,,,
N_1761132200,N_4457909410,Nm,ELEM,/SEPA_CT_UNES,001,000,N_5958302950,0000,000,000,,,6,C,,,,,,,
N_1769383930,N_1489713350,DbtrAcct,ELEM,/SEPA_CT_UNES,001,002,N_1307819380,0000,000,000,,,8,C,,,,,,,N_7631742550
N_1781756050,N_9145273120,UltmtCdtr,ELEM,/SEPA_CT_UNES,001,000,N_3963698540,0000,000,000,,,8,C,,,,,,,N_0875432660
N_1863004460,N_9961450310,NbOfTxs,ELEM,/SEPA_CT_UNES,001,001,,0008,000,000,CL   R0,,4,N,,,,,,,N_2063037070
N_2063037070,N_9961450310,CtrlSum,ELEM,/SEPA_CT_UNES,001,000,,0018,000,000,AL.2,,4,P,,,,,,,N_4457909410
N_2147266940,N_5757152900,Cd,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,,,1,C,,,,SEPA,,,
