NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,MP_SC_TAB,MP_SC_FLD,MP_EXIT_FUNC,MP_CONST,CV_RULE,DATA_TYPE,LENGTH
N_0176201200,N_0206686030,InstdAmt,ELEM,FPAYH,RWBTR,,,AL.2,P,0015
N_0179888070,N_9961450310,CreDtTm,ELEM,,,DMEE_EXIT_SE_DATE,,,C,0019
N_0206686030,N_9145273120,Amt,ELEM,,,,,,C,0000
N_0639541490,N_1725392490,IBAN,ELEM,FPAYH,ZIBAN,,,,C,0000
N_0763355730,N_6289915400,-,ATOM,,,,-,,C,0001
N_0843213020,N_0179888070,MM,ATOM,SYST,DATLO,,,CL,C,0002
N_0856187240,N_6289915400,DOC1R(4),ATOM,FPAYH,DOC1R,,,,C,0001
N_0875432660,N_9145273120,RmtInf,ELEM,,,,,,C,0000
N_0933751040,N_7493536070,REFERENCE3,ATOM,DMEE_PAYD,TEXT,,,CL RP    X,C,0032
N_1114124980,N_9145273120,CdtrAcct,ELEM,,,,,,C,0000
N_1215903670,N_9412627890,StrtNm,ELEM,,,Y_FI_DMEE_ADR,,CL       X,C,0060
N_1307819380,N_1769383930,Id,ELEM,,,,,,C,0000
N_1348246140,N_4880705930,xmlns:xsi,XMAT,,,,,,C,0000
N_1374946860,N_3212123950,MM,ATOM,FPAYH,AUSFD,,,CL,C,0002
N_1396453300,N_9412627890,BldgNb,ELEM,,,Y_FI_DMEE_ADR,,CL       X,C,0010
N_1420837010,N_0179888070,DD,ATOM,SYST,DATLO,,,CL,C,0002
N_1489713350,N_7251154690,PmtInf,ELEM,,,,,,C,0000
N_1600557490,N_8123082880,FinInstnId,ELEM,,,,,,C,0000
N_1725392490,N_1114124980,Id,ELEM,,,,,,C,0000
N_1761132200,N_4457909410,Nm,ELEM,,,,,,C,0000
N_1769383930,N_1489713350,DbtrAcct,ELEM,,,,,,C,0000
N_1781756050,N_9145273120,UltmtCdtr,ELEM,,,,,,C,0000
N_1863004460,N_9961450310,NbOfTxs,ELEM,,,,,CL   R0,N,0008
N_2063037070,N_9961450310,CtrlSum,ELEM,,,,,AL.2,P,0018
N_2147266940,N_5757152900,Cd,ELEM,,,,SEPA,,C,0000
N_2225536670,N_0179888070,-,ATOM,,,,-,CL,C,0001
N_2225746230,N_9412627890,Ctry,ELEM,,,Y_FI_DMEE_ADR,,CL       X,C,0000
N_2257360070,N_6289915400,DOC1R(rest),ATOM,FPAYH,DOC1R,,,,C,0020
N_2378752350,N_7493536070,REFERENCE4,ATOM,DMEE_PAYD,TEXT,,,CL RP    X,C,0032
N_2411404380,N_9481469990,Nm,ELEM,FPAYHX,NAMEZ,,,CL RP    X,C,0040
N_2411930340,N_9145273120,PmtRef,TECH,,,DMEE_EXIT_SEPA_31,,,C,0000
N_2470231520,N_7493536070,PAYD3,ATOM,DMEE_PAYD,TEXT,,,CL RP    X,C,0012
N_2590134600,N_6025412550,EndToEndId,ELEM,,,,,,C,0000
N_2703639030,N_9412627890,PstCd,ELEM,,,Y_FI_DMEE_ADR,,CL       X,C,0010
N_2790093090,N_4754354180,Ctry,ELEM,FPAYHX,ZLISO,,,,C,0000
N_3166789840,N_7315391560,Nm,ELEM,FPAYP,BNAME,,,CLURP    X,C,0040
N_3212123950,N_1489713350,ReqdExctnDt,ELEM,,,,,,C,0010
N_3311263550,N_6389156500,Para,ATOM,FPM_SEPA,XMLNS,,,,C,0070
N_3513093480,N_4754354180,StrtNm,ELEM,FPAYH,ZSTRA,,,CLURP    X,C,0060
N_3751282570,N_0179888070,T,ATOM,,,,T,CL,C,0001
N_3895768940,N_1489713350,ChrgBr,ELEM,,,,SLEV,,C,0000
N_3904828830,N_7631742550,FinInstnId,ELEM,,,,,,C,0000
N_3963698540,N_1781756050,Nm,ELEM,FPAYP,NAME1,,,CL RP    X,C,0000
N_4457909410,N_9961450310,InitgPty,ELEM,,,,,,C,0000
N_4604210940,N_6289915400,DOC1R(1),ATOM,FPAYH,DOC1R,,,,C,0001
N_4704385380,N_4754354180,BldgNb,ELEM,FPAYP,REF01,,,CLURP    X,C,0010
N_4754354180,N_4788773110,PstlAdr,ELEM,,,,,,C,0000
N_4788773110,N_9145273120,Cdtr,ELEM,,,,,,C,0000
N_4799051040,N_7493536070,REFERENCE2,ATOM,DMEE_PAYD,TEXT,,,CL RP    X,C,0032
N_4864286940,N_3212123950,-,ATOM,,,,-,CL,C,0001
N_4880705930,ROOT,Document,ELEM,,,,,,C,0000
N_4907943150,N_3212123950,DD,ATOM,FPAYH,AUSFD,,,CL,C,0002
N_4946758140,N_9412627890,AdrLine,ELEM,FPAYHX,ORT1Z,,,CL RP    X,C,0070
N_4947603910,N_9412627890,Dept,ELEM,,,Y_FI_DMEE_ADR,,CL       X,C,0000
N_5068303050,N_0179888070,Time,ATOM,SYST,TIMLO,,,T:HHMMSS,C,0008
N_5298508320,N_3212123950,-,ATOM,,,,-,CL,C,0001
N_5323647340,N_7251154690,PmtTrailer,TECH,,,DMEE_EXIT_SEPA_41,,,C,0000
N_5566338990,N_9961450310,MsgId,ELEM,FPAYHX,RENUM,,,,C,0016
N_5757152900,N_7192103500,SvcLvl,ELEM,,,,,,C,0000
N_5832864770,N_1769383930,Ccy,ELEM,FPAYHX,UBWAE,,,,C,0000
N_5958302950,N_1761132200,AUST1,ATOM,FPAYHX,AUST1,,,CL RP    X,C,0000
N_6010401760,N_1348246140,Para,ATOM,FPM_SEPA,XSI,,,,C,0070
N_6025412550,N_9145273120,PmtId,ELEM,,,,,,C,0000
N_6048457700,N_4880705930,xsi:schemaLocation,XMAT,FPM_SEPA,SCHEMALOCATION,,,,C,0000
N_6054982000,N_4754354180,AdrLine,ELEM,FPAYHX,ZPFST,,,CLURP    X,C,0000
N_6289915400,N_6025412550,InstrId,ELEM,,,,,,C,0000
N_6307338780,N_2590134600,NOTPROVIDED,ATOM,,,,NOTPROVIDED,,C,0012
N_6343458710,N_4754354180,AdrLine,ELEM,FPAYHX,ZPLOR,,,CLURP    X,C,0000
N_6389156500,N_4880705930,xmlns,XMAT,,,,,,C,0000
N_6621347550,N_6389156500,ISO,ATOM,,,,urn:iso:std:iso:20022:tech:xsd:pain.001.001.03,,C,0070
N_6647036830,N_0179888070,YYYY,ATOM,SYST,DATLO,,,CL,C,0004
N_6785781300,N_9218834580,KOINH,ATOM,FPAYH,KOINH,,,CLURP    X,C,0070
N_7064046520,N_4754354180,TwnNm,ELEM,FPAYH,ZORT1,,,CLURP    X,C,0035
N_7192103500,N_1489713350,PmtTpInf,ELEM,,,,,,C,0000
N_7251154690,N_4880705930,CstmrCdtTrfInitn,ELEM,,,,,,C,0000
N_7315391560,N_9145273120,UltmtDbtr,ELEM,,,,,,C,0000
N_7336576310,N_1489713350,PmtMtd,ELEM,,,,TRF,,C,0000
N_7471680250,N_9412627890,CtrySubDvsn,ELEM,,,Y_FI_DMEE_ADR,,CL       X,C,0010
N_7493536070,N_0875432660,Ustrd,ELEM,DMEE_PAYD,TEXT,,,,C,0140
N_7551683230,N_1307819380,IBAN,ELEM,FPAYHX,UIBAN,,,,C,0000
