LENGTH,MSG_CLASS_SCREEN,MP_OFFSET,MP_SC_OFFSET,MSG_NUM_EXIT,NODE_TYPE,CV_RULE,X_COMPLTAB,MP_SELECTION,TAB_KEYFLD,CRLF_ONLY,REACT_LEV_SCREEN,MP_SC_TAB,MP_EXIT_FUNC,DATA_TYPE,TREE_TYPE,FIRSTCHILD_ID,PARENT_ID,MSG_CLASS_EXIT,EX_STATUS,ATOM_HANDL,MP_SC_FLD,VERSION,SHIFTED_OUTPUT,SEGM_CR,TDFORM_NAME,NODE_ID,LEV,MP_CUKY_FLD,SEGM_END,INT_DATA_TYPE,LENGTH_IN_BYTES,TECH_NAME,MP_SC_NODE_ATTR,TREE_ID,SEGM_LF,REF_NAME,MP_CUKY_TAB,MSG_NUM_SCREEN,_tree_id,REACT_LEV_EXIT,MP_SC_NODE,MP_CONST,MP_IF_TP,BROTHER_ID,MP_SC_REF_NAME,CK_EXIT_FUNC,CV_SOURCE_FORMAT,TRAILER
0015,                    ,000,000,,ELEM,AL.2      ,,2,      , , ,FPAYH                         ,                              ,P,PAYM,N_8516624060,N_0206686030,                    , ,  ,RWBTR                         ,000, , ,                    ,N_0176201200,000,WAERS                         , ,A,,InstdAmt                                          ,  ,/SEPA_CT_UNES                 , ,IA          ,FPAYH,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,            ,            ,                              ,          , 
0019,                    ,000,000,,ELEM,          ,,6,      , , ,                              ,DMEE_EXIT_SE_DATE             ,C,PAYM,N_6647036830,N_9961450310,                    , ,  ,                              ,000, , ,                    ,N_0179888070,001,                              , , ,,CreDtTm                                           ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_1863004460,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_0176201200,N_9145273120,                    , ,  ,                              ,000, , ,                    ,N_0206686030,003,                              , , ,,Amt                                               ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_7315391560,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,2,      , , ,FPAYH                         ,                              ,C,PAYM,            ,N_1725392490,                    , ,  ,ZIBAN                         ,000, , ,                    ,N_0639541490,000,                              , , ,,IBAN                                              ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,            ,            ,                              ,          , 
0001,                    ,002,000,,ATOM,          ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_6289915400,                    , ,  ,                              ,000, , ,                    ,N_0763355730,000,                              , , ,,-                                                 ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,-                                                                                                                                   , ,N_4604210940,            ,                              ,          , 
0002,                    ,005,004,,ATOM,CL        ,,2,      , , ,SYST                          ,                              ,C,PAYM,            ,N_0179888070,                    , ,  ,DATLO                         ,000, , ,                    ,N_0843213020,000,                              , , ,,MM                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,5,N_9079232430,            ,                              ,          , 
0001,                    ,000,003,,ATOM,          ,,2,      , , ,FPAYH                         ,                              ,C,PAYM,            ,N_6289915400,                    , ,  ,DOC1R                         ,000, , ,                    ,N_0856187240,000,                              , , ,,DOC1R(4)                                          ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_2257360070,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_7493536070,N_9145273120,                    , ,  ,                              ,000, , ,                    ,N_0875432660,003,                              , , ,,RmtInf                                            ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_2411930340,            ,                              ,          , 
0032,                    ,000,000,,ATOM,CL RP    X,,2,1     , , ,DMEE_PAYD                     ,                              ,C,PAYM,            ,N_7493536070,                    , ,  ,TEXT                          ,000, , ,                    ,N_0933751040,000,                              , , ,,REFERENCE3                                        ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,3,N_2378752350,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_1725392490,N_9145273120,                    , ,  ,                              ,000, , ,                    ,N_1114124980,003,                              , , ,,CdtrAcct                                          ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_1781756050,            ,                              ,          , 
