ATOM_HANDL,BROTHER_ID,CK_EXIT_FUNC,CRLF_ONLY,CV_RULE,CV_SOURCE_FORMAT,DATA_TYPE,EX_STATUS,FIRSTCHILD_ID,INT_DATA_TYPE,LENGTH,LENGTH_IN_BYTES,LEV,MP_CONST,MP_CUKY_FLD,MP_CUKY_TAB,MP_EXIT_FUNC,MP_IF_TP,MP_OFFSET,MP_SC_FLD,MP_SC_NODE,MP_SC_NODE_ATTR,MP_SC_OFFSET,MP_SC_REF_NAME,MP_SC_TAB,MP_SELECTION,MSG_CLASS_EXIT,MSG_CLASS_SCREEN,MSG_NUM_EXIT,MSG_NUM_SCREEN,NODE_ID,NODE_TYPE,PARENT_ID,REACT_LEV_EXIT,REACT_LEV_SCREEN,REF_NAME,SEGM_CR,SEGM_END,SEGM_LF,SHIFTED_OUTPUT,TAB_KEYFLD,TDFORM_NAME,TECH_NAME,TRAILER,TREE_ID,TREE_TYPE,VERSION,X_COMPLTAB,_tree_id
  ,,                              , ,AL.2      ,          ,P, ,N_8516624060,A,0015,,000,                                                                                                                                    ,WAERS                         ,FPAYH                         ,                              ,1,000,RWBTR                         ,            ,,000,            ,FPAYH                         ,2,                    ,                    ,   ,   ,N_0176201200,ELEM,N_0206686030, ,,IA          , , , , ,,                    ,InstdAmt                                          , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_1863004460,                              , ,          ,          ,C, ,N_6647036830,,0019,,001,                                                                                                                                    ,                              ,                              ,DMEE_EXIT_SE_DATE             , ,000,                              ,            ,,000,            ,                              ,6,                    ,                    ,   ,   ,N_0179888070,ELEM,N_9961450310, ,,            , , , , ,,                    ,CreDtTm                                           , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_7315391560,                              , ,          ,          ,C, ,N_0176201200,,0000,,003,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_0206686030,ELEM,N_9145273120, ,,            , , , , ,,                    ,Amt                                               , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,,                              , ,          ,          ,C, ,            ,,0000,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,ZIBAN                         ,            ,,000,            ,FPAYH                         ,2,                    ,                    ,   ,   ,N_0639541490,ELEM,N_1725392490, ,,            , , , , ,,                    ,IBAN                                              , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_4604210940,                              , ,          ,          ,C, ,            ,,0001,,000,-                                                                                                                                   ,                              ,                              ,                              , ,002,                              ,            ,,000,            ,                              ,1,                    ,                    ,   ,   ,N_0763355730,ATOM,N_6289915400, ,,            , , , , ,,                    ,-                                                 , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_9079232430,                              , ,CL        ,          ,C, ,            ,,0002,,000,                                                                                                                                    ,                              ,                              ,                              ,5,005,DATLO                         ,            ,,004,            ,SYST                          ,2,                    ,                    ,   ,   ,N_0843213020,ATOM,N_0179888070, ,,            , , , , ,,                    ,MM                                                , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_2257360070,                              , ,          ,          ,C, ,            ,,0001,,000,                                                                                                                                    ,                              ,                              ,                              ,1,000,DOC1R                         ,            ,,003,            ,FPAYH                         ,2,                    ,                    ,   ,   ,N_0856187240,ATOM,N_6289915400, ,,            , , , , ,,                    ,DOC1R(4)                                          , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_2411930340,                              , ,          ,          ,C, ,N_7493536070,,0000,,003,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_0875432660,ELEM,N_9145273120, ,,            , , , , ,,                    ,RmtInf                                            , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_2378752350,                              , ,CL RP    X,          ,C, ,            ,,0032,,000,                                                                                                                                    ,                              ,                              ,                              ,3,000,TEXT                          ,            ,,000,            ,DMEE_PAYD                     ,2,                    ,                    ,   ,   ,N_0933751040,ATOM,N_7493536070, ,,            , , , , ,1,                    ,REFERENCE3                                        , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
  ,N_1781756050,                              , ,          ,          ,C, ,N_1725392490,,0000,,003,                                                                                                                                    ,                              ,                              ,                              , ,000,                              ,            ,,000,            ,                              ,8,                    ,                    ,   ,   ,N_1114124980,ELEM,N_9145273120, ,,            , , , , ,,                    ,CdtrAcct                                          , ,/SEPA_CT_UNES                 ,PAYM,000, ,/SEPA_CT_UNES
