KF_EXIT_FUNC,SORT_ORDER,VERSION,USER_FIELD,SORT_IF_TP,TREE_TYPE,KEY_FIELD,SORT_TAB,LEV,_tree_id,KEY_ONLY,SORT_FLD,TREE_ID
                              ,001,000,                    ,1,PAYM,X,FPAYH                         ,001,/SEPA_CT_UNES,X,ZBUKR                         ,/SEPA_CT_UNES                 
                              ,002,000,                    ,1,PAYM,X,FPAYH                         ,002,/SEPA_CT_UNES,,AUSFD                         ,/SEPA_CT_UNES                 
                              ,003,000,                    ,1,PAYM,X,FPAYH                         ,002,/SEPA_CT_UNES,,HKTID                         ,/SEPA_CT_UNES                 
                              ,004,000,                    ,1,PAYM,X,FPAYH                         ,003,/SEPA_CT_UNES,X,DOC1R                         ,/SEPA_CT_UNES                 
                              ,001,000,                    ,1,PAYM,X,FPAYH                         ,001,/CITI/XML/UNESCO/DC_V3_01,,LAUFD                         ,/CITI/XML/UNESCO/DC_V3_01     
                              ,002,000,                    ,1,PAYM,X,FPAYH                         ,002,/CITI/XML/UNESCO/DC_V3_01,,ZBUKR                         ,/CITI/XML/UNESCO/DC_V3_01     
                              ,003,000,                    ,1,PAYM,X,FPAYH                         ,002,/CITI/XML/UNESCO/DC_V3_01,,HKTID                         ,/CITI/XML/UNESCO/DC_V3_01     
                              ,004,000,                    ,1,PAYM,X,FPAYH                         ,002,/CITI/XML/UNESCO/DC_V3_01,,RZAWE                         ,/CITI/XML/UNESCO/DC_V3_01     
                              ,005,000,                    ,1,PAYM,X,FPAYH                         ,002,/CITI/XML/UNESCO/DC_V3_01,,UZAWE                         ,/CITI/XML/UNESCO/DC_V3_01     
                              ,006,000,                    ,1,PAYM,X,FPAYH                         ,002,/CITI/XML/UNESCO/DC_V3_01,,DTAWS                         ,/CITI/XML/UNESCO/DC_V3_01     
                              ,007,000,                    ,1,PAYM,X,FPAYH                         ,002,/CITI/XML/UNESCO/DC_V3_01,,VALUT                         ,/CITI/XML/UNESCO/DC_V3_01     
                              ,008,000,                    ,1,PAYM,X,FPAYH                         ,003,/CITI/XML/UNESCO/DC_V3_01,X,DOC1R                         ,/CITI/XML/UNESCO/DC_V3_01     
                              ,009,000,                    ,1,PAYM,X,FPAYP                         ,004,/CITI/XML/UNESCO/DC_V3_01,X,DOC2R                         ,/CITI/XML/UNESCO/DC_V3_01     
                              ,001,000,                    ,1,PAYM,X,FPAYH                         ,001,/CGI_XML_CT_UNESCO,X,ZBUKR                         ,/CGI_XML_CT_UNESCO            
